Date,Open,High,Low,Close,Adj Close,Volume
2015-03-01,5.140000,5.450000,4.650000,4.740000,4.740000,276445700
2015-04-01,4.750000,5.390000,4.650000,5.130000,5.130000,240071600
2015-05-01,5.150000,5.290000,4.540000,4.650000,4.650000,351884300
2015-06-01,4.650000,4.810000,4.410000,4.560000,4.560000,276952200
2015-07-01,4.560000,4.600000,3.100000,3.370000,3.370000,597319100
2015-08-01,3.400000,5.290000,3.140000,5.060000,5.060000,888057600
2015-09-01,4.970000,5.220000,3.710000,3.840000,3.840000,554953900
2015-10-01,3.910000,5.120000,3.860000,4.730000,4.730000,413112000
2015-11-01,4.830000,4.900000,3.620000,3.650000,3.650000,423644100
2015-12-01,3.660000,3.950000,3.500000,3.620000,3.620000,324595000
2016-01-01,3.520000,3.670000,2.180000,3.020000,3.020000,510160600
2016-02-01,3.040000,3.460000,2.450000,3.440000,3.440000,382419100
2016-03-01,3.430000,4.190000,3.120000,3.480000,3.480000,452925800
2016-04-01,3.410000,3.900000,3.300000,3.430000,3.430000,376259300
2016-05-01,3.460000,3.850000,3.370000,3.800000,3.800000,289646800
2016-06-01,3.800000,4.560000,3.610000,4.530000,4.530000,346122900
2016-07-01,4.520000,6.350000,4.360000,6.140000,6.140000,580679400
2016-08-01,6.140000,6.350000,5.850000,6.180000,6.180000,349932300
2016-09-01,6.180000,7.030000,6.160000,6.630000,6.630000,455819900
2016-10-01,6.610000,7.160000,6.160000,6.160000,6.160000,416442600
2016-11-01,6.150000,8.110000,5.830000,7.840000,7.840000,431966300
2016-12-01,7.850000,8.980000,7.840000,8.420000,8.420000,387066700
2017-01-01,8.510000,9.650000,8.320000,9.230000,9.230000,395055700
2017-02-01,9.290000,9.440000,8.130000,8.810000,8.810000,328336700
2017-03-01,8.850000,9.000000,8.130000,8.680000,8.680000,285067200
2017-04-01,8.680000,9.090000,8.210000,9.030000,9.030000,192649600
2017-05-01,9.050000,9.220000,7.320000,8.490000,8.490000,445431700
2017-06-01,8.550000,9.020000,7.750000,8.210000,8.210000,354811100
2017-07-01,8.200000,8.900000,7.870000,7.980000,7.980000,235161600
2017-08-01,8.350000,8.920000,7.970000,8.250000,8.250000,226467600
2017-09-01,8.300000,8.550000,7.500000,7.780000,7.780000,297855100
2017-10-01,7.780000,8.000000,6.050000,6.540000,6.540000,386445600
2017-11-01,6.580000,6.750000,5.620000,5.990000,5.990000,354729500
2017-12-01,6.000000,6.050000,5.420000,5.890000,5.890000,336620700
2018-01-01,5.910000,6.010000,5.100000,5.330000,5.330000,362925600
2018-02-01,5.260000,5.640000,4.910000,5.190000,5.190000,327563700
2018-03-01,5.190000,5.440000,4.810000,4.880000,4.880000,222330000
2018-04-01,4.860000,6.620000,4.810000,5.610000,5.610000,443090900
2018-05-01,5.610000,5.680000,5.040000,5.140000,5.140000,384085300
2018-06-01,5.150000,5.600000,5.120000,5.440000,5.440000,230108700
2018-07-01,5.400000,5.690000,5.350000,5.430000,5.430000,151536200
2018-08-01,5.530000,6.240000,5.360000,6.110000,6.110000,258939600
2018-09-01,6.100000,6.610000,5.870000,6.540000,6.540000,185602200
2018-10-01,6.550000,6.610000,5.660000,6.120000,6.120000,289676600
2018-11-01,6.160000,6.470000,6.050000,6.280000,6.280000,303645300
2018-12-01,6.350000,6.380000,5.550000,5.820000,5.820000,274075800
2019-01-01,5.740000,6.390000,5.710000,6.240000,6.240000,247331300
2019-02-01,6.170000,6.540000,5.760000,6.350000,6.350000,294481400
2019-03-01,6.350000,6.500000,5.500000,5.650000,5.650000,305665400
2019-04-01,5.730000,6.170000,5.440000,5.580000,5.580000,343811300
2019-05-01,5.560000,7.900000,5.450000,6.870000,6.870000,708487300
2019-06-01,6.870000,7.540000,6.480000,6.570000,6.570000,439806100
2019-07-01,6.640000,8.060000,6.550000,7.330000,7.330000,578824200
2019-08-01,7.390000,7.390000,6.520000,6.790000,6.790000,263994400
2019-09-01,6.760000,7.000000,5.850000,6.170000,6.170000,213360200
2019-10-01,6.220000,6.550000,5.840000,6.210000,6.210000,361664200
2019-11-01,6.220000,6.330000,5.550000,5.920000,5.920000,290062900
2019-12-01,5.880000,5.900000,5.150000,5.210000,5.210000,279715000
2020-01-01,5.250000,5.270000,4.310000,4.370000,4.370000,327430600
2020-02-01,4.390000,4.980000,4.260000,4.930000,4.930000,66740400
2020-02-07,4.730000,4.980000,4.690000,4.930000,4.930000,15991554
