Date,AAPL ,AMZN,FB,GOOG,JBLU,NFLX,AAL,S,SFTBY,TSLA
2015-03-01,130.279999,388.420013,86.07,576.327698,19.6,68.60714,56.049999,5.45,15.42,206.190002
2015-04-01,134.539993,452.649994,85.589996,569.576233,21.280001,82.304283,53.470001,5.39,16.48,238.75
2015-05-01,132.970001,439,81.849998,544.190002,22.4,90.205711,50.299999,5.29,15.785,252.869995
2015-06-01,131.389999,447.040009,89.400002,543.73999,21.6,100.891426,44.380001,4.81,15.25,271.410004
2015-07-01,132.970001,580.570007,99.239998,678.640015,24.190001,117.879997,43.810001,4.6,14.805,286.649994
2015-08-01,122.57,542.73999,98.739998,674.900024,24.639999,129.289993,44.450001,5.29,15.725,271
2015-09-01,116.889999,549.780029,96.489998,650.900024,27.360001,111.239998,44.59,5.22,14.14,271.570007
2015-10-01,121.220001,630.719971,105.120003,730,27.09,115.830002,46.77,5.12,14.295,249.839996
2015-11-01,123.82,682.77002,110.650002,762.708008,26.879999,126.599998,47.09,4.9,14.4,234.580002
2015-12-01,119.860001,696.440002,107.919998,779.97998,27,133.270004,46.490002,3.95,13.425,243.630005
2016-01-01,105.849998,657.719971,112.839996,752,22.139999,122.18,42.740002,3.67,12.575,231.380005
2016-02-01,98.889999,581.799988,117.589996,789.869995,23.67,97.480003,41.599998,3.46,12.49,199.520004
2016-03-01,110.419998,603.23999,116.989998,757.880005,22.67,104.910004,43.779999,4.19,13.275,239.880005
2016-04-01,112.389999,669.97998,120.790001,769.900024,21.540001,111.849998,41.759998,3.9,14.235,269.339996
2016-05-01,100.730003,724.22998,121.080002,739.72998,20,104,35.169998,3.85,14.1,243.190002
2016-06-01,101.889999,731.5,119.440002,737.210022,18.77,102.150002,33.580002,4.56,14.545,240.850006
2016-07-01,104.550003,766,128.330002,778.549988,18.940001,101.269997,36.740002,6.35,14.435,235.279999
2016-08-01,110.230003,774.97998,126.730003,789.75,18.5,98.849998,37.349998,6.35,17.280001,236.630005
2016-09-01,116.18,839.950012,131.979996,789.849976,17.91,100.349998,39.52,7.03,16.940001,211.100006
2016-10-01,118.690002,847.210022,133.5,816.679993,19.32,129.289993,40.93,7.16,16.295,215.669998
2016-11-01,113.769997,800.840027,131.940002,795.632996,21.25,125.830002,47.139999,8.11,15.66,199.350006
2016-12-01,118.019997,782.460022,122.5,804.380005,23.120001,129.070007,50.639999,8.98,17.24,223.800003
2017-01-01,122.440002,843.840027,133.139999,841.950012,23.15,143.460007,50,9.65,19.75,258.459991
2017-02-01,137.479996,860.859985,137.179993,833.450012,20.32,145.949997,48.049999,9.44,19.67,287.390015
2017-03-01,144.5,890.349976,142.949997,853.5,21.040001,148.289993,48.139999,9,19.120001,282
2017-04-01,145.460007,949.590027,151.529999,916.849976,22.74,153.520004,47.389999,9.09,18.985001,314.799988
2017-05-01,156.649994,1001.200012,153.600006,979.27002,23.120001,164.75,48.82,9.22,20.424999,342.890015
2017-06-01,155.979996,1017,156.5,988.25,23.370001,166.869995,51.950001,9.02,21.84,386.98999
2017-07-01,153.990005,1083.310059,175.490005,986.200012,24.129999,191.5,54.48,8.9,21.105,371.350006
2017-08-01,164.520004,1006.400024,173.050003,941.97998,22.620001,184.619995,52,8.92,20.575001,370
2017-09-01,164.940002,1000,174,959.786011,19.950001,189.949997,48.599998,8.55,20.799999,389.609985
2017-10-01,169.649994,1122.790039,180.800003,1048.390015,20.790001,204.380005,53.740002,8,23.280001,363
2017-11-01,176.240005,1213.410034,184.25,1062.375,21.59,202.479996,51.16,6.75,22.825001,332.609985
2017-12-01,177.199997,1194.780029,182.279999,1078.48999,22.74,194.490005,53.470001,6.05,21.195,347.440002
2018-01-01,180.100006,1472.579956,190.660004,1186.890015,23.08,286.809998,59.080002,6.01,21.575001,360.5
2018-02-01,180.619995,1528.699951,195.320007,1174,22.059999,297.359985,55.599998,5.64,21.434999,359.98999
2018-03-01,183.5,1617.540039,186.100006,1177.050049,22.799999,333.980011,57.439999,5.44,20.605,348.670013
2018-04-01,178.940002,1638.099976,177.100006,1094.165039,20.82,338.820007,53.080002,6.62,19.65,309.5
2018-05-01,190.369995,1635,192.720001,1110.75,19.93,356.100006,45.82,5.68,19.790001,312.98999
2018-06-01,194.199997,1763.099976,203.550003,1186.286011,19.48,423.209991,45.02,5.6,19.549999,373.730011
2018-07-01,195.960007,1880.050049,218.619995,1273.890015,20.110001,419.769989,40.860001,5.69,21.940001,364.779999
2018-08-01,228.869995,2025.569946,188.300003,1256.5,19.459999,376.809998,41.040001,6.24,23.74,387.459991
2018-09-01,229.669998,2050.5,173.889999,1212.98999,20.139999,383.200012,43.889999,6.61,25.15,314.959991
2018-10-01,233.470001,2033.189941,165.880005,1209.959961,19.49,386.799988,41.75,6.61,25.290001,347.160004
2018-11-01,222.360001,1784,154.130005,1095.569946,19.58,332.049988,40.200001,6.47,21.1,366.75
2018-12-01,184.940002,1778.339966,147.190002,1124.650024,19.719999,298.720001,40.580002,6.38,21.424999,379.48999
2019-01-01,169,1736.410034,171.679993,1117.329956,18.5,358.850006,37.080002,6.39,19.65,352
2019-02-01,175.869995,1673.060059,172.470001,1147,18.360001,371.48999,37.23,6.54,24.895,324.23999
2019-03-01,197.690002,1823.75,174.300003,1231.790039,17.09,379,35.959999,6.5,25.34,307.130005
2019-04-01,208.479996,1956.339966,198.479996,1289.27002,18.68,384.799988,35.240002,6.17,26.940001,296.170013
2019-05-01,215.309998,1964.400024,196.179993,1190.849976,18.92,385.98999,34.900002,7.9,28.040001,258.350006
2019-06-01,201.570007,1935.199951,198.880005,1124.109985,19.68,375,33.810001,7.54,24.690001,234.740005
2019-07-01,221.369995,2035.800049,208.660004,1265.550049,19.83,384.76001,34.990002,8.06,27.379999,266.070007
2019-08-01,218.029999,1897.920044,198.470001,1234.109985,19.76,328.579987,30.57,7.39,26.59,244.509995
2019-09-01,226.419998,1853.660034,193.100006,1248.300049,17.530001,301.549988,30.34,7,22.559999,253.5
2019-10-01,249.75,1798.849976,198.089996,1299.310059,19.6,308.75,31.67,6.55,19.99,340.839996
2019-11-01,268,1824.689941,203.800003,1335.529053,19.93,316.820007,31.58,6.33,20,361.200012
2019-12-01,293.970001,1901.400024,208.929993,1365,19.49,338,29.809999,5.9,21.85,435.309998
2020-01-01,327.850006,2055.719971,224.199997,1503.213989,21.190001,359.850006,29.299999,5.27,22.940001,653
2020-02-01,325.220001,2098.530029,212.820007,1490,20.91,375.25,29.450001,4.98,23.35,968.98999
