Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,10102.000000,10349.000000,8843.000000,8955.750000,8668.414063,32255
2014-02-01,9000.000000,9560.000000,8857.099609,9366.299805,9065.792969,35940
2014-03-01,9470.000000,10988.000000,9161.200195,10858.299805,10509.923828,38200
2014-04-01,10780.000000,11006.000000,10050.000000,10508.500000,10171.346680,42154
2014-05-01,10508.500000,13330.000000,9999.099609,12313.000000,11917.950195,28542
2014-06-01,12500.000000,13649.000000,11700.000000,11976.799805,11652.554688,34762
2014-07-01,13650.000000,14000.000000,12610.099609,13265.799805,12906.658203,39467
2014-08-01,13336.900391,15000.000000,13300.000000,14279.000000,13892.428711,30445
2014-09-01,14889.400391,15350.000000,14400.000000,15018.200195,14611.615234,25967
2014-10-01,15012.799805,15200.000000,14200.000000,14628.099609,14232.076172,9741
2014-11-01,15095.000000,19580.000000,14900.000000,18961.800781,18448.451172,86035
2014-12-01,19100.000000,21168.099609,18200.099609,19465.599609,18938.611328,82029
2015-01-01,19364.199219,23960.000000,18926.099609,23829.199219,23184.074219,40474
2015-02-01,23901.000000,27396.699219,22222.000000,26424.099609,25708.724609,112683
2015-03-01,26000.000000,27989.199219,24700.000000,25383.500000,24696.296875,55157
2015-04-01,25381.000000,26740.000000,20451.199219,22506.199219,21896.892578,38286
2015-05-01,22506.199219,23873.699219,20550.000000,23655.300781,23014.886719,57326
2015-06-01,23669.000000,23874.300781,19635.599609,21915.199219,21321.892578,51611
2015-07-01,21852.300781,24999.900391,21852.000000,24642.900391,23975.751953,33359
2015-08-01,24751.000000,26701.000000,21600.099609,23258.800781,22629.119141,51472
2015-09-01,23210.000000,23233.800781,19105.900391,19401.599609,18939.802734,52217
2015-10-01,19549.300781,22019.300781,19230.000000,20460.800781,19973.792969,59601
2015-11-01,20500.000000,20884.800781,18099.599609,18679.699219,18235.087891,53931
2015-12-01,18883.599609,19100.000000,17873.000000,18671.800781,18227.375000,32193
2016-01-01,18612.300781,19393.199219,16880.000000,17444.199219,17028.992188,29863
2016-02-01,17749.000000,17749.000000,15752.700195,16779.199219,16379.822266,96878
2016-03-01,16846.000000,21000.000000,16726.000000,20787.099609,20292.326172,33634
2016-04-01,20700.000000,20700.000000,18846.900391,19703.800781,19234.816406,22626
2016-05-01,19734.699219,22544.400391,18963.000000,22351.599609,21819.589844,39631
2016-06-01,22400.000000,23114.800781,20805.599609,22638.199219,22099.367188,26987
2016-07-01,22900.000000,25136.900391,22099.599609,24988.800781,24487.591797,59060
2016-08-01,24801.000000,25649.900391,23468.500000,24201.500000,23716.080078,42878
2016-09-01,24338.000000,24836.599609,22421.500000,22733.199219,22277.230469,43165
2016-10-01,22951.800781,23520.000000,21811.000000,21875.000000,21436.244141,21172
2016-11-01,21893.000000,22368.199219,18005.000000,20517.800781,20106.265625,33621
2016-12-01,20648.000000,21290.000000,19000.099609,20999.400391,20578.207031,25023
2017-01-01,21105.000000,22989.900391,20069.199219,22141.800781,21697.695313,26423
2017-02-01,22309.099609,23639.800781,21179.400391,21587.900391,21154.900391,28924
2017-03-01,21587.900391,23235.900391,21099.199219,22778.599609,22397.593750,32366
2017-04-01,22621.099609,23650.000000,22365.000000,22800.000000,22418.636719,22049
2017-05-01,22800.000000,24849.900391,22600.000000,23302.000000,22912.240234,36977
2017-06-01,23302.000000,25245.199219,22769.000000,23301.800781,22912.042969,78062
2017-07-01,22974.699219,24894.500000,22888.000000,24032.800781,23720.212891,43645
2017-08-01,24250.000000,25175.300781,21433.000000,22031.199219,21744.644531,42868
2017-09-01,22200.000000,22600.000000,20444.900391,20515.900391,20249.054688,13645
2017-10-01,20515.900391,22250.000000,20332.699219,21018.699219,20745.314453,44173
2017-11-01,21109.300781,22062.199219,18800.000000,20327.000000,20062.611328,111843
2017-12-01,20415.000000,20839.900391,19200.000000,20103.099609,19841.623047,37973
2018-01-01,20169.099609,20170.000000,19230.199219,19343.800781,19092.201172,42428
2018-02-01,19549.900391,20099.000000,18000.000000,18689.300781,18446.212891,43784
2018-03-01,18850.000000,18850.000000,16990.400391,18136.699219,17900.800781,17442
2018-04-01,18152.099609,20299.000000,17849.000000,19402.599609,19150.236328,17843
2018-05-01,19402.599609,19687.400391,17292.699219,18276.800781,18039.078125,13881
2018-06-01,18275.000000,19141.900391,17171.300781,17488.800781,17261.328125,11911
2018-07-01,17530.800781,19114.800781,17169.699219,18699.699219,18554.443359,14944
2018-08-01,18897.099609,22400.000000,18500.000000,21995.599609,21824.740234,36247
2018-09-01,21860.000000,22349.900391,19400.000000,19817.400391,19663.460938,27815
2018-10-01,19965.000000,20098.800781,17620.099609,19853.599609,19699.378906,18389
2018-11-01,20436.000000,20436.000000,18335.000000,18904.400391,18757.554688,21108
2018-12-01,18900.000000,19984.000000,18300.099609,19622.900391,19470.472656,20441
