Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,19350.000000,20150.000000,18600.000000,19413.800781,19240.207031,42733
2014-02-01,19415.699219,20095.000000,18700.000000,19075.500000,18928.906250,33162
2014-03-01,19100.000000,22592.400391,19002.000000,21739.000000,21571.935547,47023
2014-04-01,21700.000000,24500.000000,19826.599609,20503.900391,20346.332031,56729
2014-05-01,20503.900391,23600.000000,20503.900391,22725.400391,22550.757813,26230
2014-06-01,22715.000000,24666.000000,22448.300781,23634.900391,23453.265625,18189
2014-07-01,23651.000000,24749.000000,21000.099609,23323.400391,23144.162109,30655
2014-08-01,23000.000000,24450.000000,23000.000000,24014.800781,23830.248047,15205
2014-09-01,24169.800781,32837.398438,24169.800781,32629.400391,32382.732422,95438
2014-10-01,32580.500000,32899.000000,30100.000000,31319.400391,31082.636719,31221
2014-11-01,31468.800781,33960.000000,31101.000000,33507.000000,33253.699219,36479
2014-12-01,33684.199219,39500.000000,32926.300781,37882.898438,37600.011719,93765
2015-01-01,38052.398438,40288.000000,37040.000000,39992.000000,39693.367188,42079
2015-02-01,39959.898438,41750.000000,35501.000000,41189.898438,40882.304688,51615
2015-03-01,41240.000000,42450.000000,36949.898438,38809.898438,38561.882813,38297
2015-04-01,38967.500000,42799.000000,36338.398438,36682.699219,36448.281250,47508
2015-05-01,36682.699219,38085.101563,34700.101563,35854.199219,35625.078125,34876
2015-06-01,35920.000000,36380.000000,31374.400391,34196.601563,33978.070313,78651
2015-07-01,34200.000000,41149.898438,33787.500000,40849.101563,40588.062500,47412
2015-08-01,41200.000000,46405.398438,36670.398438,40426.601563,40168.257813,79059
2015-09-01,40000.000000,42200.000000,37709.898438,41931.500000,41666.296875,42954
2015-10-01,41803.000000,43553.398438,39507.199219,41244.398438,40983.531250,48232
2015-11-01,39800.000000,40200.000000,37660.101563,38862.101563,38616.312500,27994
2015-12-01,39100.000000,40100.000000,38230.000000,39847.601563,39598.625000,13296
2016-01-01,40000.000000,41399.898438,34563.199219,35607.101563,35384.621094,26932
2016-02-01,35672.101563,35865.000000,31190.000000,32429.300781,32226.673828,32170
2016-03-01,32400.000000,38969.398438,32400.000000,38368.500000,38128.765625,27914
2016-04-01,38100.000000,38299.000000,33550.101563,33791.601563,33580.468750,24913
2016-05-01,33714.800781,34850.000000,31031.800781,33806.199219,33594.976563,34202
2016-06-01,33636.000000,33900.000000,30464.199219,33084.898438,32878.175781,29497
2016-07-01,33034.000000,35900.000000,33033.898438,33797.898438,33586.722656,26664
2016-08-01,33969.000000,38100.000000,33507.101563,37449.000000,37215.007813,33331
2016-09-01,37525.000000,51486.898438,36950.000000,50937.398438,50759.828125,59441
2016-10-01,51451.000000,54600.601563,46202.000000,47903.898438,47736.921875,59944
2016-11-01,48199.000000,53950.000000,46450.000000,49899.199219,49725.261719,44547
2016-12-01,50150.000000,53500.000000,47577.500000,48781.101563,48613.929688,27738
2017-01-01,48789.000000,55924.898438,48780.601563,51677.398438,51500.300781,30296
2017-02-01,51654.101563,52814.898438,49600.000000,51792.398438,51614.902344,27983
2017-03-01,52055.101563,61100.000000,51166.500000,60723.898438,60519.363281,53310
2017-04-01,61000.000000,70480.000000,60100.000000,67901.000000,67672.289063,34248
2017-05-01,67901.000000,69770.000000,62000.000000,65586.296875,65365.390625,33983
2017-06-01,65586.296875,74100.000000,65586.296875,68329.101563,68098.953125,33973
2017-07-01,68400.000000,71552.000000,68100.000000,69221.398438,68988.250000,16480
2017-08-01,69500.000000,71068.500000,62360.601563,64170.601563,64003.894531,34829
2017-09-01,64200.000000,65777.101563,61110.000000,62993.699219,62830.050781,19635
2017-10-01,62993.699219,67340.000000,62400.101563,66327.796875,66155.492188,12056
2017-11-01,66700.000000,70498.398438,63800.000000,68626.296875,68448.007813,16660
2017-12-01,69000.000000,74499.000000,65400.000000,72348.101563,72163.304688,16474
2018-01-01,72500.101563,73412.500000,66700.000000,68565.898438,68390.750000,14639
2018-02-01,68111.000000,73799.601563,65124.000000,73385.500000,73198.046875,43197
2018-03-01,73450.000000,74000.000000,68112.203125,72300.703125,72119.093750,8800
2018-04-01,72428.898438,81423.000000,72428.898438,79881.898438,79681.250000,11325
2018-05-01,79881.898438,81300.000000,72769.703125,75758.601563,75568.304688,9797
2018-06-01,76400.000000,76700.000000,72472.398438,74877.296875,74689.218750,7358
2018-07-01,75204.000000,81097.601563,73840.000000,79457.601563,79258.015625,10609
2018-08-01,79810.000000,80372.500000,73000.000000,73746.500000,73561.265625,11615
2018-09-01,74116.000000,74300.000000,62352.300781,63677.601563,63604.058594,18645
2018-10-01,63413.800781,65861.500000,59494.601563,64520.398438,64445.882813,11314
2018-11-01,64900.000000,69311.898438,64571.601563,67353.000000,67275.210938,8045
2018-12-01,69001.000000,69883.500000,63693.398438,67088.203125,67013.773438,15398
