Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,61.799999,63.200001,51.250000,54.950001,48.117844,5119402
2014-02-01,54.950001,60.950001,54.099998,60.375000,52.868336,3197706
2014-03-01,60.500000,70.574997,59.924999,68.500000,59.983112,5846896
2014-04-01,68.500000,74.175003,67.500000,72.525002,63.507675,10206266
2014-05-01,72.525002,82.800003,68.349998,77.275002,67.667084,8315492
2014-06-01,78.000000,94.750000,76.925003,87.900002,76.971046,11754962
2014-07-01,88.349998,95.150002,85.099998,91.425003,80.057762,9614504
2014-08-01,91.125000,94.375000,82.949997,91.974998,80.539383,6430996
2014-09-01,90.974998,103.675003,90.050003,94.000000,82.312607,87519056
2014-10-01,93.500000,101.300003,87.675003,99.574997,89.047668,4577918
2014-11-01,100.250000,104.349998,92.824997,98.550003,88.131042,4745390
2014-12-01,97.625000,105.750000,90.125000,104.199997,93.183701,5213582
2015-01-01,104.500000,110.949997,88.400002,89.900002,80.395538,9271396
2015-02-01,90.150002,96.150002,87.025002,91.574997,81.893448,9808020
2015-03-01,90.150002,92.699997,85.224998,85.724998,76.661926,2573228
2015-04-01,86.150002,95.500000,79.900002,87.175003,77.958626,3376446
2015-05-01,87.175003,94.000000,84.000000,90.875000,81.267456,24465926
2015-06-01,91.150002,191.899994,85.925003,186.949997,167.185150,2789703
2015-07-01,93.500000,101.324997,91.599998,96.500000,86.297768,3608506
2015-08-01,96.000000,194.500000,82.474998,189.500000,169.465561,4903252
2015-09-01,87.500000,183.000000,84.675003,175.699997,157.124557,2607301
2015-10-01,90.199997,196.699997,87.300003,194.300003,177.841705,5486134
2015-11-01,96.599998,238.000000,95.550003,234.250000,214.407730,9051818
2015-12-01,117.900002,128.699997,115.500000,127.425003,116.631401,4226758
2016-01-01,128.850006,136.050003,120.000000,122.675003,112.283760,4837124
2016-02-01,124.050003,133.250000,115.000000,117.224998,107.295395,3611608
2016-03-01,117.400002,131.675003,116.400002,125.375000,114.755043,2046222
2016-04-01,125.724998,137.175003,118.724998,131.574997,120.429863,3817418
2016-05-01,130.550003,142.375000,126.550003,137.100006,125.486893,3905514
2016-06-01,138.975006,148.000000,132.850006,147.149994,134.685577,2839530
2016-07-01,146.300003,151.375000,141.125000,148.899994,136.287338,2161794
2016-08-01,148.550003,177.149994,148.550003,175.675003,160.794357,3887576
2016-09-01,176.000000,183.149994,162.524994,172.475006,157.865433,5072254
2016-10-01,174.274994,205.425003,173.000000,194.024994,180.163040,5815224
2016-11-01,196.100006,197.250000,162.899994,194.274994,180.395157,6569826
2016-12-01,196.449997,198.449997,171.750000,183.850006,170.714996,4072966
2017-01-01,184.500000,198.475006,175.824997,186.975006,173.616714,5007278
2017-02-01,188.475006,208.449997,185.550003,203.050003,188.543274,15081158
2017-03-01,204.500000,207.000000,188.524994,201.449997,187.057541,5073416
2017-04-01,202.000000,226.824997,201.774994,211.750000,196.621689,5151220
2017-05-01,211.750000,229.399994,210.149994,219.899994,204.189407,5678408
2017-06-01,220.100006,227.225006,210.500000,215.774994,200.359116,203708060
2017-07-01,217.899994,223.350006,198.699997,204.100006,189.518250,5175724
2017-08-01,203.350006,236.649994,198.449997,225.350006,209.250046,6125613
2017-09-01,225.649994,242.199997,220.600006,231.399994,214.867813,5456588
2017-10-01,231.399994,275.200012,231.399994,259.850006,243.996918,6018007
2017-11-01,260.450012,275.450012,247.399994,251.000000,235.686829,8349497
2017-12-01,252.000000,259.649994,239.199997,254.550003,239.020248,27617083
2018-01-01,255.300003,260.000000,231.800003,254.699997,239.161102,3669016
2018-02-01,254.699997,258.600006,233.399994,246.899994,231.836945,8158548
2018-03-01,245.800003,246.500000,224.449997,231.300003,217.188705,4066285
2018-04-01,232.800003,245.399994,219.550003,226.699997,212.869324,1967355
2018-05-01,226.699997,229.949997,202.000000,220.850006,207.376251,9952386
2018-06-01,220.550003,228.699997,203.600006,219.149994,205.779938,3443215
2018-07-01,219.199997,235.800003,206.149994,229.149994,215.169861,4188311
2018-08-01,230.000000,248.750000,216.000000,247.449997,232.353409,2885463
2018-09-01,250.000000,250.000000,218.250000,224.699997,210.991348,2260956
2018-10-01,227.000000,227.000000,205.100006,225.500000,215.798050,3338567
2018-11-01,227.000000,232.000000,210.000000,212.449997,203.309509,3101420
2018-12-01,213.949997,228.800003,203.399994,223.500000,219.330215,2075367
