Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,334.000000,342.500000,312.549988,314.250000,286.826355,104095246
2014-02-01,314.975006,341.450012,308.399994,334.799988,305.583008,49446192
2014-03-01,332.600006,380.375000,331.250000,374.399994,341.727264,106374032
2014-04-01,375.750000,376.774994,353.649994,360.649994,329.177155,78283974
2014-05-01,360.649994,427.000000,355.725006,396.375000,361.784576,126429896
2014-06-01,396.750000,428.000000,396.750000,410.774994,374.927917,77783872
2014-07-01,411.500000,430.350006,403.575012,417.000000,387.103241,79829752
2014-08-01,413.024994,426.399994,395.700012,421.774994,391.535889,65539076
2014-09-01,422.950012,439.899994,419.299988,436.325012,405.042755,83277776
2014-10-01,433.000000,457.299988,427.049988,455.924988,423.237549,62758666
2014-11-01,457.600006,482.950012,446.500000,478.575012,444.263641,75798242
2014-12-01,479.149994,486.975006,458.000000,475.799988,441.687622,67436388
2015-01-01,475.500000,550.299988,468.125000,538.674988,500.054779,83993886
2015-02-01,534.250000,546.500000,515.000000,527.000000,489.216827,65614418
2015-03-01,540.174988,554.650024,501.049988,511.350006,474.688873,92009894
2015-04-01,513.049988,529.500000,489.524994,494.399994,458.954071,63577874
2015-05-01,494.399994,527.000000,472.100006,525.275024,487.615540,65540780
2015-06-01,524.474976,536.000000,495.075012,533.575012,495.320496,73703282
2015-07-01,530.674988,564.000000,527.025024,555.825012,515.975281,61430932
2015-08-01,556.375000,558.750000,502.850006,513.724976,484.116852,57113004
2015-09-01,510.649994,536.950012,488.500000,534.400024,503.600281,67817782
2015-10-01,537.599976,562.000000,529.674988,549.799988,518.112671,49865370
2015-11-01,547.525024,549.049988,520.500000,538.875000,507.817291,41850572
2015-12-01,538.525024,546.349976,520.049988,541.075012,509.890594,48843402
2016-01-01,541.200012,554.000000,503.950012,524.924988,494.671356,55754414
2016-02-01,529.000000,533.500000,464.000000,485.924988,457.919037,71472338
2016-03-01,487.475006,539.450012,485.924988,535.575012,504.707581,62697206
2016-04-01,534.400024,568.349976,521.424988,566.174988,533.543945,49578794
2016-05-01,563.875000,597.500000,556.575012,590.950012,556.891052,54884412
2016-06-01,591.474976,595.924988,572.125000,588.224976,554.323059,58951816
2016-07-01,590.000000,625.625000,580.450012,623.099976,596.906799,58237936
2016-08-01,624.500000,647.500000,606.900024,645.599976,618.460938,58470838
2016-09-01,644.000000,659.224976,632.700012,636.424988,609.671692,52030484
2016-10-01,640.500000,650.025024,612.075012,629.525024,603.061768,39439216
2016-11-01,628.000000,644.500000,579.000000,599.799988,574.586243,76076534
2016-12-01,601.150024,1202.300049,581.799988,1184.449951,1134.659302,48908250
2017-01-01,604.724976,650.000000,591.549988,643.325012,616.281616,65706704
2017-02-01,643.099976,727.000000,640.250000,695.049988,665.832275,264106476
2017-03-01,698.224976,739.974976,684.500000,721.275024,690.954895,72430454
2017-04-01,723.000000,786.974976,712.525024,773.250000,740.744934,66808784
2017-05-01,773.250000,824.000000,761.299988,818.099976,783.709595,50151330
2017-06-01,819.500000,858.000000,810.275024,826.025024,791.301453,46752192
2017-07-01,826.299988,899.400024,822.500000,892.200012,866.129089,62678678
2017-08-01,890.924988,904.575012,865.575012,888.224976,862.270142,51268730
2017-09-01,890.500000,934.000000,869.000000,902.849976,876.467834,78112874
2017-10-01,902.849976,939.799988,878.924988,904.250000,877.826965,67360708
2017-11-01,907.549988,937.750000,894.000000,926.849976,899.766541,50919926
2017-12-01,927.450012,951.549988,899.500000,936.200012,908.843323,59433142
2018-01-01,936.349976,1006.750000,925.250000,1002.849976,973.545654,71520872
2018-02-01,1003.000000,1007.500000,918.150024,942.099976,914.570923,55205576
2018-03-01,939.650024,950.000000,914.250000,943.049988,915.493164,56704418
2018-04-01,945.250000,989.500000,930.150024,972.150024,943.742859,52637954
2018-05-01,972.150024,1080.000000,972.150024,1069.719971,1038.461670,79037818
2018-06-01,1058.000000,1078.500000,1004.549988,1054.219971,1036.572021,171382202
2018-07-01,1054.180054,1110.000000,1031.619995,1089.750000,1071.507202,102000326
2018-08-01,1081.400024,1087.500000,1029.119995,1030.599976,1013.347351,102832700
2018-09-01,1034.699951,1039.469971,955.099976,1003.030029,986.238953,110860266
2018-10-01,1004.900024,1026.099976,942.500000,955.875000,939.873291,165463186
2018-11-01,965.000000,1068.780029,948.000000,1064.219971,1046.404663,137555020
2018-12-01,1065.500000,1079.699951,1016.000000,1060.849976,1043.091064,94995760
