Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,167.600006,174.649994,133.750000,137.500000,127.059029,129892258
2014-02-01,136.199997,147.899994,130.250000,141.149994,130.431870,105006421
2014-03-01,140.800003,186.699997,136.300003,176.449997,163.051407,196199518
2014-04-01,177.750000,185.000000,139.000000,140.149994,129.507813,234421645
2014-05-01,140.149994,224.800003,137.600006,210.100006,194.146210,331031578
2014-06-01,211.199997,242.949997,198.899994,215.050003,198.720352,243157758
2014-07-01,215.899994,233.800003,191.699997,198.250000,183.196045,213913527
2014-08-01,192.000000,208.000000,176.000000,177.300003,163.836853,167661398
2014-09-01,178.000000,186.899994,147.600006,150.850006,140.816635,188555716
2014-10-01,150.500000,155.899994,100.099998,124.750000,116.452606,428301801
2014-11-01,124.000000,155.000000,120.199997,149.100006,139.183060,229970653
2014-12-01,148.699997,166.000000,129.399994,137.399994,128.261230,221094605
2015-01-01,137.000000,175.000000,131.600006,169.899994,158.599564,177050457
2015-02-01,171.000000,179.199997,145.050003,155.949997,145.577408,155041847
2015-03-01,156.949997,167.399994,139.100006,158.250000,147.724457,163748489
2015-04-01,157.000000,169.250000,122.099998,136.449997,127.374413,123180082
2015-05-01,136.449997,141.500000,115.099998,117.750000,109.918190,154365971
2015-06-01,118.949997,122.949997,102.800003,116.900002,109.124733,169908526
2015-07-01,116.800003,120.400002,94.199997,115.050003,107.397774,128633069
2015-08-01,115.099998,136.699997,93.349998,110.900002,103.523796,294062483
2015-09-01,108.000000,138.750000,104.099998,137.350006,130.138992,256419979
2015-10-01,138.750000,142.899994,115.250000,116.500000,110.383636,154675018
2015-11-01,116.500000,125.699997,101.800003,114.599998,108.583374,226530657
2015-12-01,116.199997,120.449997,105.400002,116.000000,109.909874,177516362
2016-01-01,115.949997,122.750000,90.000000,96.349998,91.291519,280622246
2016-02-01,96.500000,101.150002,72.349998,88.949997,84.280037,242954464
2016-03-01,89.099998,116.550003,89.099998,114.750000,108.725502,254421202
2016-04-01,114.500000,130.149994,112.400002,129.500000,124.863258,200878844
2016-05-01,128.949997,133.899994,117.300003,129.899994,125.248924,181328472
2016-06-01,129.500000,150.550003,126.650002,149.949997,144.581039,226862083
2016-07-01,150.899994,165.600006,149.199997,161.300003,155.524643,171246133
2016-08-01,162.800003,169.600006,152.600006,154.850006,149.305603,149856199
2016-09-01,155.000000,159.399994,138.100006,146.149994,140.917099,200578655
2016-10-01,148.000000,160.300003,144.850006,150.500000,145.111343,120250377
2016-11-01,150.300003,151.899994,104.150002,115.000000,110.882423,274244073
2016-12-01,115.199997,118.449997,101.000000,111.400002,107.411324,175279796
2017-01-01,116.000000,140.000000,113.949997,134.949997,130.118118,188551732
2017-02-01,136.699997,152.399994,134.300003,150.449997,145.063141,167430193
2017-03-01,154.899994,155.399994,139.149994,148.649994,143.327560,149952881
2017-04-01,148.600006,197.449997,146.199997,186.000000,179.340256,266529595
2017-05-01,186.000000,216.000000,170.199997,179.550003,173.121201,277084765
2017-06-01,179.949997,203.800003,171.399994,190.699997,183.871979,238425200
2017-07-01,191.000000,207.199997,189.750000,193.350006,186.427109,165672159
2017-08-01,194.500000,196.300003,153.000000,185.050003,178.424286,292565994
2017-09-01,184.550003,198.600006,158.199997,164.300003,158.417236,190418773
2017-10-01,164.300003,202.699997,164.300003,201.350006,196.164536,149893159
2017-11-01,203.000000,234.899994,194.149994,233.250000,227.242996,256203208
2017-12-01,237.000000,266.799988,220.949997,259.350006,252.670837,189613974
2018-01-01,259.450012,273.850006,245.550003,250.100006,243.659058,146760407
2018-02-01,251.699997,253.699997,204.500000,226.250000,220.423264,149521345
2018-03-01,225.550003,229.699997,198.800003,201.250000,196.067108,114542685
2018-04-01,203.699997,226.149994,197.600006,223.100006,218.606857,141489231
2018-05-01,223.100006,224.300003,183.250000,209.899994,205.672699,135307115
2018-06-01,210.449997,210.949997,183.800003,188.800003,184.997650,96172748
2018-07-01,189.000000,198.850006,168.000000,196.300003,192.346603,116199675
2018-08-01,195.899994,223.500000,184.050003,220.800003,216.353195,152290068
2018-09-01,213.100006,216.550003,159.600006,162.550003,159.276321,149692466
2018-10-01,159.000000,166.500000,142.000000,164.750000,162.083939,209760928
2018-11-01,165.449997,183.500000,161.750000,178.100006,175.217896,103580588
2018-12-01,179.000000,193.699997,163.000000,177.550003,174.676804,129990064
