Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,101.238998,102.625000,81.702301,86.526001,84.580856,231592890
2014-02-01,86.224602,92.314598,75.431396,77.722702,75.975464,211013285
2014-03-01,78.114601,86.737099,77.782997,82.878098,81.014969,167573500
2014-04-01,83.812698,89.661499,79.471298,81.219902,79.394043,135564803
2014-05-01,81.219902,90.324799,77.873497,83.119301,81.250740,239908471
2014-06-01,83.209702,89.510696,78.295502,79.863297,78.067940,353795949
2014-07-01,80.255203,95.630898,79.652199,94.575699,92.449593,318254073
2014-08-01,93.761703,100.093002,91.410103,97.620697,95.426147,192710894
2014-09-01,98.283997,107.389000,97.530197,100.153000,97.901520,269400080
2014-10-01,101.299004,103.319000,87.581299,98.133202,96.316841,115831725
2014-11-01,98.766296,104.314003,95.058098,95.691200,93.920044,114998681
2014-12-01,95.661003,99.188400,83.269997,92.736603,91.020134,176653446
2015-01-01,92.857201,103.771004,87.189301,93.369797,91.641609,148348899
2015-02-01,92.917503,97.138298,89.571098,93.309502,91.582436,138438646
2015-03-01,92.314598,113.056999,86.284897,110.945999,108.892494,382668338
2015-04-01,109.831001,123.005997,104.765999,105.519997,103.566925,253091248
2015-05-01,105.519997,109.801003,99.489899,104.433998,102.501022,181100240
2015-06-01,104.675003,108.776001,99.489899,106.212997,104.247093,142092371
2015-07-01,106.424004,112.454002,99.942101,104.525002,102.590340,135407323
2015-08-01,105.519997,105.519997,85.018600,93.972702,92.233353,145250965
2015-09-01,92.676300,93.731499,82.697197,90.143898,88.475418,117755777
2015-10-01,89.872498,96.625801,83.209702,84.415703,83.421036,153481881
2015-11-01,85.018600,90.294601,76.486603,85.259804,84.255188,165185542
2015-12-01,85.078903,87.551102,77.843300,86.616501,85.595901,115551743
2016-01-01,86.194397,87.098900,61.683701,62.196301,61.463440,167346703
2016-02-01,62.738899,67.743599,58.608601,62.889702,62.148674,138384118
2016-03-01,62.708801,69.401703,59.121101,66.447197,65.664246,164932557
2016-04-01,66.628098,77.391098,64.155899,71.482002,70.639732,158570797
2016-05-01,71.150299,73.110001,63.492599,69.311302,68.494606,180995814
2016-06-01,69.793701,73.441597,58.216702,64.276497,63.519127,649664027
2016-07-01,64.517700,67.924500,60.598400,63.130901,62.387032,179090985
2016-08-01,63.341900,64.517700,55.774601,56.347500,55.683556,334062826
2016-09-01,56.136398,56.498199,47.031601,47.694901,47.132912,455187115
2016-10-01,48.297798,49.805199,42.871101,45.946201,45.946201,303899571
2016-11-01,46.307999,48.177200,39.675400,46.700001,46.700001,248104428
2016-12-01,46.488899,46.941101,41.092300,44.710201,44.710201,249280871
2017-01-01,44.921200,71.753304,39.976799,66.386902,66.386902,1071396899
2017-02-01,66.507500,73.803398,61.291801,69.853996,69.853996,952491135
2017-03-01,69.341400,74.466698,51.433300,51.764900,51.764900,1336142516
2017-04-01,51.674400,53.965698,50.830299,51.825199,51.825199,299559739
2017-05-01,51.825199,56.287201,45.705101,48.237499,48.237499,448707231
2017-06-01,47.785301,51.674400,45.885899,51.403099,51.403099,275325833
2017-07-01,51.403099,60.116001,49.353001,55.744499,55.744499,618956805
2017-08-01,56.618801,57.282101,51.131802,54.659100,54.659100,266098798
2017-09-01,54.870201,55.051102,45.071899,46.700001,46.700001,377559348
2017-10-01,46.700001,60.809399,43.082100,55.985699,55.985699,558984992
2017-11-01,56.860001,66.808998,54.900299,56.950401,56.950401,720489402
2017-12-01,56.980598,65.663300,53.965698,65.211098,65.211098,317373886
2018-01-01,64.758904,71.693001,54.990799,56.136398,56.136398,757559762
2018-02-01,56.377602,56.407700,48.237499,50.589100,50.589100,456144402
2018-03-01,50.619301,50.770000,44.951302,45.765400,45.765400,363864573
2018-04-01,46.247700,47.272800,40.730598,41.695301,41.695301,441182556
2018-05-01,41.695301,41.846100,30.208700,37.082600,37.082600,726138977
2018-06-01,37.987000,39.705502,32.861801,35.786201,35.786201,583239136
2018-07-01,35.514900,36.931900,29.123400,33.072800,33.072800,776991824
2018-08-01,33.313999,34.429501,29.424900,29.756500,29.756500,619884013
2018-09-01,30.419800,31.535299,21.917900,23.244499,23.244499,783636673
2018-10-01,23.365000,23.726801,19.626600,23.304800,23.304800,666251863
2018-11-01,23.455500,27.465200,21.164200,21.284800,21.284800,1023351978
2018-12-01,21.495800,23.425400,19.295000,22.762100,22.762100,694031487
