Month,NIFTY50,HDFCBANK,HINDUNLVR,INFY,ITC,KOTAKBANK,MARUTI,NESTLEIND,RELIANCE,SBIN,TCS,ASHOKLEY,BOSCHLTD,DLF,HAVELLS,IDEA,L&TFH,NHPC,JUSTDIAL,NIITECH,SIEMENS
January-2014,6358.299805,342.5,584.900024,474.875,221.567001,368.875,1860,5600,449.125,180.600006,1192.400024,19.15,10333,174.649994,169,102.625,75.900002,19.75,1778.900024,421.950012,672.400024
February-2014,6282.700195,341.450012,589.650024,479.644012,221.332993,347,1733.650024,5198,414.899994,154,1140,16.6,9594,147.899994,158.729996,92.314598,78.849998,18.9,1514.900024,479.700012,624
March-2014,6730.049805,380.375,608.849976,481.243988,243.332993,394,1980,5070,469.899994,193.880005,1149.5,24.35,11000,186.699997,187.990005,86.737099,88.25,19.75,1769.900024,455.399994,775
April-2014,6869.850098,376.774994,619.799988,423.5,237.332993,417.299988,2006.849976,5070,494.375,212.490005,1132,25.25,11030,185,192.539993,89.661499,78.699997,20.85,1624,425.899994,776.349976
May-2014,7563.5,427,615,417.5,258.333008,475.5,2505,5080,572.625,283.48999,1126.699951,35.849998,13330,224.800003,198.199997,90.324799,78.900002,28.6,1454,424.899994,989.950012
June-2014,7700.049805,428,645.950012,417.424988,228.733002,485.975006,2528,5039,566.5,276.149994,1217.5,39,13670,242.949997,249.960007,89.510696,83.150002,29.6,1518.5,463.25,981
July-2014,7840.950195,430.350006,701.299988,429,243,489.799988,2665,5248.399902,521.650024,272.899994,1307.180054,38.150002,14099,233.800003,259.049988,95.630898,76.75,27.950001,1688.599976,487,1010
August-2014,7968.25,426.399994,744.900024,456.25,241.233002,529.974976,2824.949951,6155,511.5,257.73999,1293.969971,38.299999,14998,208,298,100.093002,69.900002,23.25,1894.400024,387,904.150024
September-2014,8180.200195,439.899994,771.900024,474.375,253.266998,543.299988,3112,6620,520.650024,264.399994,1391.219971,42.700001,15350,186.899994,296,107.389,72.400002,22.9,1767.199951,449,914.799988
October-2014,8330.75,457.299988,766.049988,508.25,246.667007,561.125,3350,6300,501.850006,270.980011,1419.849976,46.799999,15200,155.899994,286.399994,103.319,69.699997,20.85,1750,419,880
November-2014,8617,482.950012,798.849976,549.75,252.533005,632.349976,3396,6500,508.674988,322.5,1345.949951,56.200001,19570,155,321.899994,104.314003,76.900002,21.65,1624,424.149994,951.900024
December-2014,8626.950195,486.975006,829.75,550.275024,266.867004,657.75,3462,6425.049805,495.975006,326.950012,1355.469971,55.75,21150,166,346.899994,99.1884,73.849998,20.450001,1604,380,984.5
January-2015,8996.599609,550.299988,968.849976,556.25,248.632996,722,3758.5,7430,467.25,336,1299.949951,69.150002,23989,175,284.899994,103.771004,73.650002,20.299999,1631,389.100006,1084.099976
February-2015,8913.450195,546.5,930.849976,584,268,683,3725,7272,471.899994,313.149994,1365,71.150002,27398.900391,179.199997,278.649994,97.138298,71.300003,21.35,1581.900024,423.899994,1368.5
March-2015,9119.200195,554.650024,981,578.474976,238.667007,728.875,3789.699951,7505,454.825012,315,1406.050049,76.099998,27990,167.399994,315.850006,113.056999,71.300003,21.450001,1429.900024,439.799988,1500
April-2015,8841.650391,529.5,950.950012,561.25,239.067001,737.650024,3873,7174.950195,472.149994,294.899994,1356.949951,76.949997,26796.900391,169.25,310.399994,123.005997,67.599998,21.200001,1385,389,1490
May-2015,8489.549805,527,907.049988,515.474976,223.932999,717.450012,3840,7349,457.700012,305,1324.300049,75.5,23900,141.5,294.899994,109.801003,67.849998,20.549999,1188,427,1417.800049
June-2015,8467.150391,536,923.099976,516,222.5,707.099976,4077.399902,6999.899902,507.049988,282,1323.550049,73,23860,122.949997,292,108.776001,66.800003,21.1,1274.900024,410,1406.5
July-2015,8654.75,564,944,574.5,218.266998,744.799988,4359,6494,533.924988,274.649994,1323.449951,86.400002,24908.099609,120.400002,312.799988,112.454002,74.949997,19.9,1290,516,1507.800049
August-2015,8621.549805,558.75,924.799988,593.099976,329.5,724.75,4692.399902,6998,881.25,291.799988,1376.430054,99.650002,26719.900391,136.699997,281.399994,105.519997,72.400002,19.450001,1106.800049,539.75,1559.699951
September-2015,8055,536.950012,862.400024,584.474976,219.899994,670,4763.450195,6398,449.75,248.449997,1321.849976,92.900002,23247,138.75,268.700012,93.731499,70,16.9,1000.799988,485.700012,1340.150024
October-2015,8336.299805,562,832,609.900024,239.867004,693.799988,4721.899902,6669.950195,487.399994,257.149994,1385,97.199997,22049.900391,142.899994,267.399994,96.625801,70.099998,18.5,1077.900024,610.799988,1396.400024
November-2015,8116.100098,549.049988,826,578.799988,235.332993,702.950012,4790,6474,496.25,253,1273.900024,99.650002,20890,125.699997,300,90.294601,67.900002,19.35,970,631,1359.599976
December-2015,7979.299805,546.349976,875.599976,555,233.167007,723.849976,4702,5950,509.850006,251.899994,1233.199951,95.5,19112,120.449997,312,87.551102,68.949997,21.35,941.849976,614.5,1250.050049
January-2016,7937.549805,554,868.700012,585,219.332993,729.849976,4668,5850,544.875,228.899994,1219.5,94.150002,19420,122.75,322.200012,87.0989,66.849998,22.4,863.5,593.599976,1225.650024
February-2016,7600.450195,533.5,866,597.474976,217.300003,697.299988,4119,5575,520.900024,181.949997,1220,93,17788.900391,101.150002,311,67.743599,59,21.950001,623.849976,559.700012,1092
March-2016,7777.600098,539.450012,883,618.5,224.132996,694.900024,3777.800049,5849,528,198.75,1275,109.400002,21000,116.550003,324.600006,69.401703,65.699997,24.450001,778,520,1106.949951
April-2016,7992,568.349976,906.900024,633.950012,225.567001,719.799988,3932.75,6246.75,534.950012,202.550003,1276.75,112.900002,20825,130.149994,354,77.391098,74.900002,24.25,903.700012,518.299988,1198.699951
May-2016,8213.599609,597.5,869.700012,636,242.667007,754.5,4180,6359,497.475006,205.699997,1323.5,109.349998,22541.099609,133.899994,378.399994,73.110001,79.650002,23.950001,861.200012,497.5,1236
June-2016,8308.150391,595.924988,908,639.650024,247.800003,778.849976,4235,6705,497.075012,221.899994,1338.849976,111.699997,23098,150.550003,370,73.441597,80.75,25.65,705.5,587,1320
July-2016,8674.700195,625.625,951.450012,598.025024,259.75,787.5,4824,7369,519.375,235.149994,1317.449951,100.699997,25141.099609,165.600006,391.75,67.9245,88.400002,26.299999,626.599976,534.200012,1356
August-2016,8819.200195,647.5,947,547.5,262,814.950012,5103.899902,7215.149902,537,260.399994,1372.400024,97.099998,25670.800781,169.600006,428.299988,64.5177,97.949997,28.299999,565,456,1353
September-2016,8968.700195,659.224976,954,534.450012,265.899994,825.400024,5634.100098,6625,564.775024,271.600006,1267.469971,88.75,24844.199219,159.399994,433.549988,56.498199,99.199997,28.200001,522.650024,449.450012,1319
October-2016,8806.950195,650.025024,889.700012,541.349976,246.550003,822,5948,7000,563.125,264.899994,1228.819946,90.75,23550,160.300003,459.399994,49.805199,107.949997,27,460,450.5,1268.949951
November-2016,8669.599609,644.5,866.400024,503.399994,259.649994,833.450012,5974,6960.75,527.974976,288.799988,1199.849976,93.5,22377.599609,151.899994,414,48.1772,109.150002,28.35,429.5,430,1196.150024
December-2016,8274.950195,1202.300049,855.700012,511,242.399994,756.450012,5377.899902,6392.700195,1041.699951,269.350006,1189.300049,80.900002,21300,118.449997,354.899994,46.941101,90,28.4,396,441,1151.050049
January-2017,8672.700195,650,875.950012,520,266.950012,802.099976,5939,6081.049805,548.75,268.200012,1194.969971,93.150002,23035,140,432.200012,71.753304,102.199997,30.799999,405,452.950012,1200
February-2017,8982.150391,727,872,515.5,292.149994,814.400024,6233.899902,6450,628.400024,282.799988,1277.5,97,24000,152.399994,446,73.803398,119.599998,31.700001,560,431,1259
March-2017,9218.400391,739.974976,923.799988,522,288.899994,886.400024,6226.799805,6720,668.825012,295,1293.569946,93.400002,23399,155.399994,474.5,74.466698,125.5,32.349998,619.849976,437.799988,1273.800049
April-2017,9367.150391,786.974976,951,516.224976,292.899994,921,6589.799805,6785.899902,733.875,298.75,1224.5,88.849998,23700,197.449997,499.450012,53.965698,129.699997,33.200001,561.200012,474,1358.5
May-2017,9649.599609,824,1077,500,319.850006,981.450012,7248,7000,701,315.299988,1318.780029,95.900002,24889.800781,216,526.299988,56.287201,140.399994,32.150002,534.900024,544.75,1471.349976
June-2017,9709.299805,858,1129,494.450012,324.700012,1004.650024,7480.899902,6850,722.700012,295.899994,1354.469971,96.699997,25240,203.800003,511.5,51.6744,150.149994,34.5,460.899994,598,1396
July-2017,10114.849609,899.400024,1195.050049,510.850006,354.799988,1031.699951,7765,6989,815.75,313.850006,1292.400024,110.5,24869,207.199997,485.549988,60.116001,175.800003,32.799999,402,601,1469.900024
August-2017,10137.849609,904.575012,1222.800049,514.625,289.899994,1024,7920,7140,832.450012,314.799988,1274.949951,114.349998,25180,196.300003,501.899994,57.282101,202.850006,31.4,399.5,520,1444.550049
September-2017,10178.950195,934,1287.599976,462.950012,284.350006,1045.400024,8200,7410,872.5,280.399994,1270.5,123.900002,22650,198.600006,521.450012,55.051102,212.899994,29.25,418.899994,568.150024,1453.5
October-2017,10384.5,939.799988,1288.650024,478.850006,276,1115.050049,8279,7483,957.799988,351.299988,1320,133.899994,22243.300781,202.699997,564.599976,60.809399,213.850006,29.9,469,696.900024,1295.199951
November-2017,10490.450195,937.75,1315,509.649994,271.200012,1050,8696,7974.149902,959.5,346.700012,1388.699951,132.800003,21268,234.899994,527.900024,66.808998,203.300003,29.549999,569.099976,679.900024,1292
December-2017,10552.400391,951.549988,1382.800049,524.400024,267.5,1038,9996.400391,8039.049805,938.900024,323.850006,1354.449951,123.199997,21388.800781,266.799988,569.900024,65.6633,182.449997,33.299999,542.799988,661,1262
January-2018,11171.549805,1006.75,1410,610.525024,283.299988,1119.5,9789,7968.850098,990.950012,332.75,1629.530029,132.600006,20620,273.850006,592.5,71.693001,185.699997,34.5,647,928.75,1332
February-2018,11117.349609,1007.5,1384.800049,594.75,290.299988,1131,9563.700195,7874,972.599976,317.399994,1595,142.199997,20028.900391,253.699997,532.700012,56.4077,175.5,29.799999,532.049988,862.700012,1336
March-2018,10525.5,950,1340,598.5,272,1108.5,9084,8250,959.900024,270,1563.5,151.649994,18759.699219,229.699997,527.700012,50.77,165.75,28.200001,470,1012.450012,1178
April-2018,10759,989.5,1513.550049,607.200012,283.850006,1218.800049,9350,9448,1011,265,1780,166.350006,20298,226.149994,559.200012,47.2728,175.449997,29.4,494,1192,1135
May-2018,10929.200195,1080,1619.400024,624.325012,289.700012,1400,8998,9889.950195,1000,274.799988,1837.400024,167.5,19700,224.300003,569.450012,41.8461,184.100006,28.75,638.299988,1162.150024,1154
June-2018,10893.25,1078.5,1656.650024,657.5,274.600006,1360,9094.950195,10198,1036,289.649994,1885.150024,152,19137.199219,210.949997,569.849976,39.705502,170.949997,27.1,597,1156,1049
