Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,161.000000,162.649994,159.949997,160.250000,145.411560,364079
2014-01-02,161.449997,161.649994,153.699997,154.850006,140.511581,355985
2014-01-03,154.899994,157.000000,153.750000,156.500000,142.008804,297845
2014-01-06,156.800003,158.500000,155.250000,156.600006,142.099564,254136
2014-01-07,157.500000,158.000000,155.300003,156.449997,141.963425,213481
2014-01-08,155.600006,159.399994,155.600006,156.949997,142.417130,413363
2014-01-09,157.449997,158.399994,156.100006,157.050003,142.507874,256767
2014-01-10,157.600006,159.800003,154.949997,156.000000,141.555099,911861
2014-01-13,156.500000,156.899994,152.000000,152.899994,138.742142,757339
2014-01-14,153.699997,154.350006,150.350006,152.050003,137.970840,196765
2014-01-15,152.899994,152.899994,150.399994,151.949997,137.880112,192692
2014-01-16,152.300003,152.800003,148.600006,149.100006,135.294022,314187
2014-01-17,150.600006,150.600006,145.800003,146.149994,132.617157,288175
2014-01-20,146.550003,149.199997,146.550003,148.300003,134.568100,205745
2014-01-21,149.199997,150.000000,147.750000,148.199997,134.477325,221985
2014-01-22,148.100006,152.100006,148.100006,149.750000,135.883835,348462
2014-01-23,150.000000,150.300003,147.500000,148.050003,134.341232,189782
2014-01-24,148.850006,148.850006,143.750000,144.199997,130.847733,261963
2014-01-27,143.800003,144.800003,140.199997,141.399994,128.306976,309407
2014-01-28,141.000000,143.000000,138.350006,138.899994,126.038475,428208
2014-01-29,140.500000,144.199997,139.699997,142.100006,128.942184,341244
2014-01-30,142.000000,144.850006,140.000000,140.649994,127.626450,582687
2014-01-31,142.699997,143.000000,139.500000,141.149994,128.080139,373395
2014-02-03,141.399994,142.949997,140.050003,140.850006,127.807915,858247
2014-02-04,140.000000,143.699997,138.649994,143.100006,129.849594,628291
2014-02-05,143.000000,144.899994,142.399994,143.100006,129.849594,302167
2014-02-06,143.550003,144.199997,140.550003,141.149994,128.080139,344357
2014-02-07,142.500000,144.500000,141.850006,143.399994,130.121811,624547
2014-02-10,144.149994,144.649994,142.750000,143.750000,130.439392,458164
2014-02-11,144.000000,145.800003,143.100006,144.750000,131.346802,297434
2014-02-12,145.750000,146.000000,143.500000,144.000000,130.666260,170888
2014-02-13,143.750000,145.000000,141.100006,141.600006,128.488480,125943
2014-02-14,142.000000,142.899994,139.199997,140.550003,127.535721,172971
2014-02-17,141.050003,141.399994,137.949997,139.149994,126.265320,195688
2014-02-18,139.500000,140.899994,138.600006,140.100006,127.127380,193717
2014-02-19,140.949997,141.699997,139.750000,140.300003,127.308830,158985
2014-02-20,139.949997,142.000000,139.350006,141.100006,128.034775,186164
2014-02-21,141.550003,143.000000,141.100006,141.850006,128.715347,225815
2014-02-24,142.500000,143.000000,141.899994,142.399994,129.214401,80999
2014-02-25,142.949997,143.600006,140.750000,141.199997,128.125519,196255
2014-02-26,141.850006,141.899994,139.100006,139.800003,126.855156,185014
2014-02-28,140.000000,142.050003,139.199997,139.750000,126.809769,260796
2014-03-03,140.050003,141.000000,135.399994,136.300003,123.679245,322694
2014-03-04,136.500000,141.100006,136.000000,140.250000,127.263489,492689
2014-03-05,141.800003,142.399994,139.500000,140.649994,127.626450,208232
2014-03-06,141.500000,143.000000,140.250000,142.600006,129.395889,263191
