Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,17.250000,17.400000,17.150000,17.200001,14.782870,2424349
2014-01-02,17.350000,17.950001,17.200001,17.750000,15.255577,21557275
2014-01-03,18.000000,19.049999,17.700001,18.900000,16.243965,46470769
2014-01-06,19.100000,19.150000,18.450001,18.700001,16.072073,15415220
2014-01-07,18.950001,18.950001,18.200001,18.350000,15.771259,11635445
2014-01-08,18.600000,18.750000,18.150000,18.250000,15.685313,5948349
2014-01-09,18.400000,18.400000,17.799999,17.900000,15.384498,7619581
2014-01-10,18.000000,18.000000,17.100000,17.200001,14.782870,8726124
2014-01-13,17.100000,17.549999,16.900000,17.100000,14.696923,5102199
2014-01-14,17.049999,17.650000,16.950001,17.400000,14.954762,5972585
2014-01-15,17.400000,17.500000,17.150000,17.250000,14.825844,3623898
2014-01-16,17.150000,17.450001,16.950001,17.000000,14.610976,2703137
2014-01-17,17.000000,17.200001,16.750000,16.850000,14.482056,3439620
2014-01-20,16.850000,17.049999,16.700001,16.799999,14.439080,3335279
2014-01-21,16.900000,17.250000,16.650000,16.799999,14.439080,6894950
2014-01-22,16.600000,17.549999,16.200001,17.250000,14.825844,26685626
2014-01-23,17.250000,17.900000,17.250000,17.700001,15.212605,12248325
2014-01-24,17.700001,17.700001,17.000000,17.049999,14.653948,7609929
2014-01-27,16.799999,16.850000,16.299999,16.500000,14.181241,4491746
2014-01-28,16.400000,16.750000,15.950000,16.350000,14.052320,8483179
2014-01-29,16.450001,16.750000,16.150000,16.299999,14.009347,4274785
2014-01-30,16.100000,16.350000,15.750000,16.150000,13.880427,10110272
2014-01-31,16.299999,16.549999,16.100000,16.450001,14.138269,11540451
2014-02-03,16.250000,16.400000,15.850000,15.900000,13.665561,4136058
2014-02-04,15.900000,16.600000,15.500000,16.450001,14.138269,14393963
2014-02-05,16.500000,16.500000,15.900000,16.000000,13.751506,9051086
2014-02-06,16.049999,16.299999,15.800000,15.950000,13.708533,8265993
2014-02-07,16.000000,16.250000,15.950000,16.100000,13.837454,5058257
2014-02-10,16.250000,16.450001,15.550000,15.650000,13.450691,16461612
2014-02-11,15.750000,15.800000,15.550000,15.700000,13.493666,4375071
2014-02-12,15.750000,15.850000,15.550000,15.600000,13.407719,3784598
2014-02-13,15.600000,15.750000,15.400000,15.500000,13.321772,3017740
2014-02-14,15.500000,15.750000,15.450000,15.600000,13.407719,3758441
2014-02-17,15.700000,15.900000,14.850000,15.350000,13.192853,8985964
2014-02-18,15.400000,15.600000,15.250000,15.350000,13.192853,6672511
2014-02-19,15.700000,15.800000,15.500000,15.650000,13.450691,4638723
2014-02-20,15.650000,15.700000,15.400000,15.650000,13.450691,3354843
2014-02-21,15.600000,15.750000,15.600000,15.700000,13.493666,2826587
2014-02-24,15.600000,15.700000,15.500000,15.500000,13.321772,2662240
2014-02-25,15.500000,15.650000,15.500000,15.500000,13.321772,2605212
2014-02-26,15.400000,15.750000,15.350000,15.700000,13.493666,13668315
2014-02-28,15.750000,15.800000,15.600000,15.650000,13.450691,2082985
2014-03-03,15.650000,15.700000,15.500000,15.550000,13.364746,1679150
2014-03-04,15.500000,15.750000,15.350000,15.600000,13.407719,3662269
2014-03-05,15.600000,16.299999,15.600000,16.150000,13.880427,8025139
2014-03-06,16.250000,16.350000,15.950000,16.000000,13.751506,6677550
2014-03-07,16.100000,17.250000,15.900000,17.150000,14.739896,25688161
2014-03-10,17.150000,18.250000,16.950001,18.100000,15.556392,38704691
2014-03-11,18.049999,18.200001,17.350000,17.549999,15.083683,14498381
2014-03-12,17.549999,18.549999,17.450001,17.750000,15.255577,19198479
2014-03-13,17.900000,18.299999,17.100000,17.450001,14.997737,13495704
2014-03-14,17.350000,17.600000,17.049999,17.450001,14.997737,7043671
2014-03-18,17.500000,17.900000,17.400000,17.500000,15.040709,6474382
2014-03-19,17.549999,17.850000,17.549999,17.650000,15.169628,3925812
2014-03-20,17.500000,18.000000,17.400000,17.700001,15.212605,7217954
2014-03-21,17.750000,18.650000,17.700001,18.500000,15.900179,17074117
2014-03-22,null,null,null,null,null,null
2014-03-24,18.650000,19.450001,18.100000,19.350000,16.630730,24816632
2014-03-25,19.350000,20.450001,19.250000,20.299999,17.447222,26349946
2014-03-26,20.700001,24.350000,20.350000,22.600000,19.424004,70588203
2014-03-27,22.799999,23.700001,21.799999,22.100000,18.994268,68817039
2014-03-28,22.450001,23.000000,22.000000,22.850000,19.638868,20596711
2014-03-31,23.000000,23.950001,23.000000,23.650000,20.326445,23062808
2014-04-01,23.700001,23.850000,22.250000,22.600000,19.424004,14160442
2014-04-02,22.750000,23.750000,22.350000,23.549999,20.240498,16122735
2014-04-03,23.900000,24.100000,22.900000,23.200001,19.939682,27519191
2014-04-04,23.299999,23.600000,22.950001,23.450001,20.154552,9082601
2014-04-07,23.250000,23.600000,22.750000,23.049999,19.810760,5805206
2014-04-09,23.049999,24.950001,23.049999,24.549999,21.099966,21222616
2014-04-10,24.650000,24.950001,24.000000,24.250000,20.842127,10594572
2014-04-11,24.150000,25.250000,23.750000,24.100000,20.713205,13230673
2014-04-15,24.850000,24.850000,23.299999,23.600000,20.283470,8043432
2014-04-16,23.450001,23.700001,22.650000,22.799999,19.595894,7218707
2014-04-17,22.850000,23.450001,22.650000,23.049999,19.810760,15461413
2014-04-21,23.250000,24.500000,23.200001,24.299999,20.885101,10651862
2014-04-22,24.500000,24.700001,23.600000,23.750000,20.412392,7012412
2014-04-23,23.600000,24.250000,23.600000,23.850000,20.498339,7581623
2014-04-24,23.850000,23.850000,23.850000,23.850000,20.498339,0
2014-04-25,23.850000,24.200001,23.100000,23.299999,20.025629,8599530
2014-04-28,23.400000,23.650000,23.100000,23.250000,19.982658,4468841
2014-04-29,23.450001,23.450001,22.549999,22.700001,19.509951,4925141
2014-04-30,22.850000,23.100000,21.950001,22.250000,19.123192,13178669
2014-05-02,22.350000,22.750000,22.200001,22.500000,19.338055,4067788
2014-05-05,22.250000,22.650000,21.700001,22.450001,19.295084,7086225
2014-05-06,22.549999,22.650000,22.299999,22.500000,19.338055,4710841
2014-05-07,22.299999,22.799999,22.299999,22.600000,19.424004,5216959
2014-05-08,22.650000,23.049999,22.650000,22.900000,19.681841,5562510
2014-05-09,22.799999,24.049999,22.799999,23.900000,20.541311,22122813
2014-05-12,23.950001,26.250000,23.750000,25.100000,21.572678,35846649
2014-05-13,25.750000,26.450001,25.100000,25.549999,21.959435,14698640
2014-05-14,25.650000,26.100000,25.299999,25.600000,22.002411,5697144
2014-05-15,25.799999,26.150000,25.150000,25.500000,21.916464,9084206
2014-05-16,26.000000,28.250000,26.000000,26.900000,23.119719,26137474
2014-05-19,27.150000,29.350000,27.049999,29.150000,25.053524,16471586
2014-05-20,29.600000,30.350000,28.200001,28.350000,24.365950,16109284
2014-05-21,28.549999,30.500000,28.350000,28.950001,24.881632,34799750
2014-05-22,29.000000,30.049999,28.500000,28.900000,24.838659,19697455
2014-05-23,30.500000,34.450001,30.500000,32.849998,28.233559,91793267
2014-05-26,33.950001,35.849998,29.850000,31.850000,27.374092,53040222
2014-05-27,32.299999,33.349998,30.500000,31.799999,27.331121,25494397
2014-05-28,32.450001,33.400002,32.000000,32.650002,28.061670,17556694
2014-05-29,32.950001,33.250000,31.299999,31.549999,27.116251,26287899
2014-05-30,32.000000,32.849998,31.450001,32.349998,27.803825,14848482
2014-06-02,32.799999,33.250000,32.650002,32.900002,28.276539,12979342
2014-06-03,32.900002,33.900002,32.400002,33.400002,28.706274,22222387
2014-06-04,33.299999,34.099998,33.250000,33.950001,29.178978,17099267
2014-06-05,34.200001,34.500000,33.049999,34.099998,29.307896,17695550
2014-06-06,34.400002,34.500000,33.299999,33.900002,29.136003,18794299
2014-06-09,34.250000,34.900002,33.400002,34.200001,29.393847,24313720
2014-06-10,34.250000,34.400002,32.849998,33.549999,28.835188,16162821
2014-06-11,33.500000,33.900002,31.049999,32.250000,27.717880,31619045
2014-06-12,32.250000,34.200001,31.500000,33.750000,29.007082,32506525
2014-06-13,34.150002,34.500000,32.250000,32.900002,28.276539,33298922
2014-06-16,32.500000,33.250000,30.799999,32.799999,28.190588,17425884
2014-06-17,32.950001,33.349998,32.049999,33.150002,28.491405,9807714
2014-06-18,33.349998,33.849998,32.599998,33.349998,28.663296,21690011
2014-06-19,33.150002,33.700001,32.849998,33.299999,28.620321,11374837
2014-06-20,33.299999,33.599998,32.049999,32.549999,27.975721,34815896
2014-06-23,32.549999,34.150002,32.549999,33.950001,29.178978,22728455
2014-06-24,34.049999,36.549999,33.700001,35.950001,30.897917,56714741
2014-06-25,36.250000,38.599998,35.950001,38.099998,32.745777,74309440
2014-06-26,38.599998,39.000000,37.549999,37.950001,32.616859,60269444
2014-06-27,37.000000,37.450001,35.650002,36.099998,31.026833,30397231
2014-06-30,36.000000,37.099998,36.000000,36.500000,31.370626,18660335
2014-07-01,37.000000,37.150002,36.500000,36.750000,31.585491,13062098
2014-07-02,37.750000,38.150002,36.099998,36.299999,31.198729,21939804
2014-07-03,36.599998,36.849998,35.250000,35.549999,30.554125,15614450
2014-07-04,35.950001,36.349998,35.200001,36.099998,31.026833,12741165
2014-07-07,36.049999,37.500000,35.799999,37.150002,31.929283,16049182
2014-07-08,37.450001,37.500000,34.750000,35.150002,30.210340,14957358
2014-07-09,35.200001,35.450001,32.599998,33.049999,28.405457,20463767
2014-07-10,32.900002,34.900002,30.500000,32.599998,28.018694,30338859
2014-07-11,32.400002,32.900002,30.100000,30.650000,26.342728,23099528
2014-07-14,30.299999,31.900000,29.049999,31.500000,27.073277,29889667
2014-07-15,31.900000,32.950001,31.650000,32.500000,27.932747,15387332
2014-07-16,32.700001,33.150002,31.950001,32.799999,28.190588,11891880
2014-07-17,32.799999,34.700001,32.599998,34.500000,29.651688,21422209
2014-07-18,34.099998,34.450001,33.250000,34.049999,29.264921,15340237
2014-07-21,34.049999,34.650002,32.849998,33.200001,28.534378,14324422
2014-07-22,33.000000,33.599998,32.000000,33.200001,28.534378,15087050
2014-07-23,33.150002,34.549999,32.900002,33.549999,28.835188,15983808
2014-07-24,33.549999,34.349998,33.150002,34.099998,29.307896,10765547
2014-07-25,34.299999,34.500000,31.100000,33.250000,28.577351,18802895
2014-07-28,34.000000,34.299999,32.549999,32.849998,28.233559,12525593
2014-07-30,33.000000,35.000000,32.849998,34.599998,29.737633,16434932
2014-07-31,34.650002,35.299999,33.799999,34.150002,29.350872,21002704
2014-08-01,33.900002,34.750000,33.500000,33.950001,29.178978,13400804
2014-08-04,34.049999,35.750000,33.549999,35.099998,30.167366,12867613
2014-08-05,35.349998,35.750000,34.799999,35.299999,30.339256,16975776
2014-08-06,35.000000,35.450001,34.450001,34.650002,29.780609,9249008
2014-08-07,34.400002,35.400002,34.299999,34.500000,29.651688,7469634
2014-08-08,34.200001,34.250000,33.400002,33.900002,29.136003,10960492
2014-08-11,34.000000,34.750000,34.000000,34.500000,29.651688,7436305
2014-08-12,34.950001,35.200001,34.700001,35.049999,30.124393,8371574
2014-08-13,34.750000,35.049999,33.299999,33.750000,29.007082,8584433
2014-08-14,33.650002,34.849998,33.549999,34.700001,29.823580,10396091
2014-08-18,34.799999,35.349998,34.400002,35.200001,30.253313,7506801
2014-08-19,35.500000,38.049999,35.200001,37.799999,32.487930,34340335
2014-08-20,38.250000,38.299999,36.950001,37.150002,31.929283,18971308
2014-08-21,37.200001,37.549999,36.099998,36.650002,31.499548,12773183
2014-08-22,36.900002,37.599998,36.349998,36.599998,31.456572,11099866
2014-08-25,36.549999,36.799999,35.400002,35.549999,30.554125,7038568
2014-08-26,35.200001,36.450001,34.950001,36.049999,30.983862,12703872
2014-08-27,36.349998,36.950001,36.250000,36.700001,31.542519,8757259
