Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,10155.000000,10333.000000,9960.000000,10009.900391,9688.984375,14920
2014-01-02,10010.000000,10164.200195,9940.049805,9998.049805,9677.514648,14316
2014-01-03,10050.000000,10177.700195,9975.000000,10021.299805,9700.019531,10989
2014-01-06,10072.000000,10144.000000,9875.849609,9930.049805,9611.695313,11449
2014-01-07,9871.000000,9998.000000,9740.049805,9777.349609,9463.889648,6112
2014-01-08,9740.000000,10299.000000,9700.000000,9864.849609,9548.584961,20468
2014-01-09,9803.000000,10100.000000,9710.000000,9752.450195,9439.789063,6508
2014-01-10,9771.000000,9899.950195,9660.000000,9715.900391,9404.411133,9322
2014-01-13,9720.000000,9817.000000,9700.000000,9718.099609,9406.540039,5055
2014-01-14,9670.000000,9850.000000,9670.000000,9758.799805,9445.935547,5239
2014-01-15,9712.000000,9818.900391,9701.000000,9723.750000,9412.008789,3091
2014-01-16,9740.000000,9773.950195,9550.099609,9591.750000,9284.241211,3740
2014-01-17,9639.000000,9648.450195,9480.099609,9517.450195,9212.323242,3637
2014-01-20,9520.000000,9640.000000,9491.000000,9524.700195,9219.340820,3936
2014-01-21,9465.000000,9730.599609,9465.000000,9556.450195,9250.071289,5132
2014-01-22,9480.000000,9605.000000,9480.000000,9551.250000,9245.039063,2563
2014-01-23,9551.250000,9589.950195,9470.049805,9482.299805,9178.299805,1844
2014-01-24,9440.000000,9529.000000,9327.450195,9338.400391,9039.013672,3380
2014-01-27,9301.000000,9390.000000,9148.000000,9257.000000,8960.223633,4929
2014-01-28,9260.000000,9335.000000,9065.000000,9097.750000,8806.078125,4520
2014-01-29,9097.750000,9240.000000,9075.000000,9103.400391,8811.546875,3223
2014-01-30,9101.000000,9101.000000,8810.099609,8919.599609,8633.638672,4809
2014-01-31,8935.000000,9049.799805,8920.000000,8973.750000,8686.054688,10026
2014-02-03,8955.000000,9069.950195,8855.099609,8944.299805,8657.548828,17731
2014-02-04,8930.000000,9038.000000,8850.000000,8995.349609,8706.961914,6569
2014-02-05,9029.400391,9274.950195,8956.250000,9213.750000,8918.358398,8242
2014-02-06,9270.000000,9340.000000,9161.000000,9202.549805,8907.518555,4162
2014-02-07,9210.000000,9275.000000,9070.000000,9110.900391,8818.807617,2314
2014-02-10,9110.000000,9198.900391,9070.000000,9095.299805,8803.705078,2106
2014-02-11,9149.000000,9150.000000,9004.000000,9105.900391,8813.966797,2409
2014-02-12,9170.000000,9170.000000,9049.500000,9055.750000,8765.424805,2722
2014-02-13,9108.000000,9108.000000,8975.000000,9003.049805,8714.413086,2408
2014-02-14,9050.000000,9050.000000,8867.000000,8952.099609,8665.096680,3912
2014-02-17,9021.000000,9030.000000,8906.000000,8985.549805,8697.474609,1293
2014-02-18,8980.000000,9039.950195,8911.000000,8980.450195,8692.540039,5565
2014-02-19,9025.000000,9025.000000,8950.000000,8972.849609,8685.182617,1222
2014-02-20,9029.000000,9039.000000,8950.000000,9013.200195,8724.240234,2202
2014-02-21,8990.000000,9299.000000,8988.500000,9084.700195,8793.446289,6067
2014-02-24,9179.000000,9350.000000,9115.049805,9296.500000,8998.458008,3814
2014-02-25,9340.000000,9520.000000,9300.000000,9475.250000,9171.475586,9012
2014-02-26,9475.250000,9594.000000,9331.150391,9495.750000,9191.318359,7503
2014-02-28,9255.000000,9520.000000,9110.000000,9404.750000,9103.236328,10036
2014-03-03,9490.000000,9490.000000,9211.000000,9266.799805,8969.709961,3055
2014-03-04,9289.950195,9290.000000,9180.000000,9236.799805,8940.669922,3993
2014-03-05,9334.950195,9334.950195,9200.000000,9213.299805,8917.923828,3246
2014-03-06,9213.650391,9319.000000,9213.650391,9255.650391,8958.916016,4141
2014-03-07,9265.000000,9397.700195,9251.000000,9317.599609,9018.880859,6820
2014-03-10,9317.500000,9844.000000,9240.000000,9696.900391,9386.020508,15940
2014-03-11,9599.000000,9644.000000,9350.000000,9407.200195,9105.606445,3978
2014-03-12,9401.000000,9589.000000,9352.000000,9458.299805,9155.068359,4281
2014-03-13,9465.000000,9574.250000,9465.000000,9501.150391,9196.546875,3146
