Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,76.400002,76.699997,73.000000,73.349998,70.055725,1772586
2014-01-02,73.599998,79.349998,73.599998,78.099998,74.592392,4995466
2014-01-03,77.250000,82.400002,76.050003,78.949997,75.404228,4820559
2014-01-06,78.449997,79.949997,76.000000,76.650002,73.207512,1672816
2014-01-07,77.300003,78.000000,74.599998,74.900002,71.536125,1005329
2014-01-08,75.000000,75.449997,70.800003,74.650002,71.297340,2331176
2014-01-09,74.699997,75.500000,71.500000,71.849998,68.623085,1041366
2014-01-10,71.900002,74.150002,69.800003,70.599998,67.429230,1377529
2014-01-13,71.000000,72.400002,69.800003,71.699997,68.479820,982649
2014-01-14,71.650002,76.650002,71.300003,75.800003,72.395699,2647232
2014-01-15,75.949997,77.099998,73.099998,73.849998,70.533279,2724700
2014-01-16,73.849998,74.449997,72.349998,73.150002,69.864708,724981
2014-01-17,73.000000,73.150002,70.300003,70.849998,67.668022,651450
2014-01-20,70.349998,72.900002,70.349998,71.449997,68.241058,863485
2014-01-21,71.750000,73.300003,71.000000,71.500000,68.288811,962356
2014-01-22,71.500000,72.650002,69.800003,70.500000,67.333733,833889
2014-01-23,70.400002,71.349998,70.000000,70.500000,67.333733,445514
2014-01-24,70.099998,70.400002,67.150002,67.500000,64.468452,651534
2014-01-27,66.349998,68.349998,64.000000,67.349998,64.325203,958364
2014-01-28,67.000000,69.000000,66.900002,67.750000,64.707230,589530
2014-01-29,68.699997,73.650002,68.500000,70.900002,67.715752,4204019
2014-01-30,70.849998,75.699997,69.599998,74.349998,71.010811,4281069
2014-01-31,74.349998,78.800003,73.199997,77.699997,74.210365,3743411
2014-02-03,78.449997,80.300003,78.050003,79.349998,75.786255,3362161
2014-02-04,78.650002,87.199997,76.500000,84.699997,80.895988,7327514
2014-02-05,85.000000,88.199997,83.050003,83.449997,79.702110,4018880
2014-02-06,84.000000,85.400002,82.000000,82.800003,79.081322,2121827
2014-02-07,83.750000,83.800003,78.250000,79.349998,75.786255,2108976
2014-02-10,79.699997,82.250000,79.550003,81.099998,77.457664,1637526
2014-02-11,80.599998,84.250000,79.500000,83.150002,79.415604,2506425
2014-02-12,83.599998,85.000000,81.500000,82.250000,78.556015,2350218
2014-02-13,82.250000,82.449997,79.750000,80.300003,76.693588,977163
2014-02-14,79.550003,81.550003,78.500000,80.300003,76.693588,1266249
