Date,BSE SENSEX,BHARTIARTL.BO,HDFCBANK.BO,HINDUNLVR.BO,ITC.BO,KOTKBANK.BO,MARUTI.BO,NESTLEIND.BO,RELIANCE.BO,SBIN.BO,TCS.BO,AMBUJACEM.BO,ASHOKLEY,BHEL.BO,BOSCHLTD.BO,MRF.BO,PETRONET.BO,PIDILITE.BO,SIEMENS.BO,TATAGLOB.BO,TVSMOTOR.BO
2014-01-01,21140.480469,309.916992,332.524994,571.799988,214.733002,361.549988,1763.349976,5310.5,444.350006,176.529999,1076.849976,183.699997,17.200001,116.900002,9999.450195,19295.099609,61.775002,286.799988,663.900024,160.25,73.5
2014-01-02,20888.330078,301.196014,328.424988,562.75,210.266998,353.825012,1769.400024,5290.600098,437.674988,174.25,1081.150024,179.449997,17.700001,112.900002,9971.900391,19037.800781,60.599998,284.799988,638.549988,154.850006,78.099998
2014-01-03,20851.330078,301.884003,331.674988,565.299988,209.899994,356.075012,1798.550049,5334.950195,432.5,171.610001,1111,177.699997,18.9,110.733002,9995,19148.900391,60.75,282.450012,629.099976,156.5,79
2014-01-06,20787.300781,301.838013,331,563.75,210.667007,356.825012,1807.150024,5380.450195,427.450012,168.764999,1119.800049,176.449997,18.65,109.599998,9919.75,19273.599609,61.775002,285.450012,625.5,156.600006,76.949997
2014-01-07,20693.240234,304.454987,332.375,559.299988,211.167007,353.325012,1846.5,5378.149902,421.075012,165.975006,1104.099976,175.149994,18.35,110.167,9753.150391,19108.699219,60.474998,283.899994,624.5,156.449997,74.800003
2014-01-08,20729.380859,305.281006,332.325012,559.150024,211.199997,356.399994,1839.150024,5407.200195,424.125,165.539993,1116.5,174.899994,18.25,108.699997,9884.650391,19070.599609,61.099998,286.149994,631,156.949997,74.650002
2014-01-09,20713.369141,302.204987,331.524994,554.75,210.300003,354.450012,1812.800049,5370.850098,425.274994,163.910004,1121.819946,171,17.9,108.366997,9750.5,19157,59.775002,290.700012,609.099976,157.050003,71.849998
2014-01-10,20758.490234,303.490997,331.075012,550.299988,214.966995,350.825012,1794.699951,5412.850098,428.450012,160.884995,1140.900024,167.850006,17.200001,108.366997,9724,19088.099609,58.525002,284.950012,596.5,156,70.5
2014-01-13,21134.210938,304.087006,336.375,546.400024,217,359.225006,1782.800049,5420.149902,439.5,164.195007,1185.150024,170.149994,17.1,109.432999,9723.650391,19100,58.799999,285.649994,592.950012,152.899994,71.650002
2014-01-14,21032.880859,301.746002,336.075012,538.849976,216.100006,355.875,1774.599976,5378.5,440.549988,162.690002,1164.069946,168.100006,17.450001,108.467003,9735.799805,19245.400391,58.799999,281.5,606.5,152.050003,75.650002
2014-01-15,21289.490234,304.363007,340.174988,545.299988,218.899994,364.475006,1799.550049,5230.700195,442.700012,164.354996,1177.119995,170.100006,17.25,110.800003,9703.900391,19237.800781,59.25,283.649994,607.75,151.949997,73.800003
2014-01-16,21265.179688,289.628998,336.975006,552,217.132996,365.475006,1787.349976,5141.700195,442.575012,163.699997,1175.680054,169.449997,17,112.733002,9598.650391,19805.800781,57.724998,282.100006,603.150024,149.100006,73
2014-01-17,21063.619141,285.681,334.149994,559,216.567001,363.174988,1777.150024,5236.950195,442.274994,162.205002,1107.819946,169.850006,16.85,114.199997,9509.900391,19508.900391,57.700001,282.399994,590.849976,146.149994,70.849998
2014-01-20,21205.050781,283.432007,334.924988,555.25,220.132996,364.075012,1778.150024,5208.200195,434.75,164.100006,1169.119995,172.050003,16.85,115.633003,9517,19610.599609,57.349998,282.950012,589.849976,148.300003,71.800003
2014-01-21,21251.119141,279.98999,338.375,560.549988,219.332993,353.049988,1803.050049,5169.549805,432.024994,165.860001,1140.319946,171.149994,16.799999,113.432999,9563.650391,19626.800781,56.349998,283.049988,594.700012,148.199997,71.75
2014-01-22,21337.669922,284.350006,338.850006,565.950012,218.266998,355.100006,1805.300049,5140.950195,436.100006,164.574997,1137.180054,171,17.25,112.900002,9528.25,19964.800781,56.174999,282.450012,593.900024,149.75,70.550003
2014-01-23,21373.660156,288.848999,339.700012,567.25,219.300003,352.75,1795,5098.5,433.024994,165.705002,1127.069946,171.149994,17.65,113.932999,9467.349609,19415.699219,56.150002,283.5,597.25,148.050003,70.5
2014-01-24,21133.560547,287.609009,336.975006,565.900024,216.132996,342.475006,1772.550049,5085.549805,433.5,162.195007,1124.069946,163.550003,17.049999,110.067001,9354.150391,19242.300781,55.299999,281.049988,578.849976,144.199997,67.599998
2014-01-27,20707.449219,281.872009,324.850006,575.549988,216.300003,329.399994,1701.349976,5051.899902,421.399994,159.455002,1115.150024,157.699997,16.5,108.366997,9276.450195,18807.900391,52.25,276.25,537.849976,141.399994,67.099998
2014-01-28,20683.509766,281.183014,322.625,570.150024,218.100006,330.524994,1563.199951,4970.299805,422.899994,159.595001,1106.650024,158.5,16.450001,109.567001,9115.099609,19019.800781,52.075001,280.649994,526.900024,138.899994,67.800003
2014-01-29,20647.300781,276.915009,322.799988,569.950012,216.667007,332.149994,1674.349976,5028.600098,418.375,157.365005,1104.780029,158.75,16.299999,113.800003,9108.099609,18947.800781,52.625,284.850006,538.700012,142.100006,70.900002
2014-01-30,20498.25,283.110992,316.200012,570.450012,216.367004,325.049988,1638,4952.799805,412.850006,151.755005,1108.949951,157,16.1,115.266998,8917.700195,19083.400391,52.349998,279.399994,537.150024,140.649994,73.849998
2014-01-31,20513.849609,289.308014,314.450012,570.349976,216.733002,328.475006,1635.349976,5044.299805,415.424988,152.559998,1118.099976,159.300003,16.450001,115.233002,8955.75,19413.800781,54.950001,280.450012,550.75,141.149994,77.5
2014-02-03,20209.259766,280.862,313.174988,570.049988,213.667007,327.649994,1620.699951,4940.049805,410.649994,148.985001,1098.319946,155.5,15.9,111.667,8925.25,19659.900391,57.25,276.049988,548.25,140.850006,79.349998
2014-02-04,20211.929688,290.501007,315.274994,570.75,216.667007,332.674988,1620.349976,4972,411,151.600006,1077.599976,155.949997,16.450001,108.932999,8996.650391,19920.699219,57.650002,275.25,542.299988,143.100006,84.800003
