Month,BSE SENSEX,BHARTIARTL,HDFCBANK,HINDUNLVR,ITC,KOTKBANK,MARUTI,NESTLEIND,RELIANCE,SBIN,TCS,AMBUJACEM,ASHOKLEY,BHEL,BOSCHLTD,MRF,PETRONET,PIDILITE,SIEMENS,TATAGLOBAL,TVSMOTOR
January-2014,21409.66,311.843994,342.5,584.400024,221.533005,369.5,1864,5585,449,180.580002,1192.099976,159.300003,19.200001,118.599998,10349,20150,63.200001,294,671.799988,162.649994,82.349998
February-2014,21140.51,293.117004,341.075012,589.900024,221.033005,346,1733.900024,5199,414.700012,153.994995,1138.5,167.350006,16.549999,115.567001,9560,20095,60.950001,289.399994,623,146,89.199997
March-2014,22467.21,300.186005,380.25,608.349976,243.332993,393.850006,1976,5030,469.649994,193.899994,1148.449951,201.149994,24,134.632996,10988,22592.400391,70.574997,310,775,152.600006,101.349998
April-2014,22939.31,317.076996,377,619.849976,237.033005,416.975006,2007.599976,5042.649902,494.450012,212.449997,1135,197.449997,25.200001,132.100006,11006,24500,74.175003,340,776.049988,159.949997,99.199997
May-2014,25375.63,321.299988,426.174988,608.599976,257.833008,475,2505.300049,5035,571.25,283.38501,1126.819946,217.300003,35.75,291.5,13330,23600,82.800003,336,989,162.899994,139.800003
June-2014,25725.12,336.906006,830,645.150024,228.367004,485.899994,2517,5049,1132.099976,276,1213.5,220.699997,39,177.699997,13649,24666,94.75,326.75,980.549988,177.149994,168.25
July-2014,26300.17,344.29599,846,699.5,242.966995,489.674988,2663,5250,1039.150024,272.894989,1306.680054,216.300003,38.099998,177.600006,14000,24749,95.150002,374.5,1010,176.899994,179
August-2014,26674.38,355.082001,426.5,744,240.966995,530,2823.949951,6075,1018.400024,257.649994,1294,215.449997,38.299999,162.533005,15000,24450,94.375,422.399994,903.5,160.699997,193.5
September-2014,27354.99,385.467987,440,771,253.167007,543.049988,3110,6624.549805,524.950012,264.475006,1390,213.699997,42.650002,162.300003,15350,32837.398438,103.675003,414.399994,915,172.850006,242
October-2014,27894.32,382.806,457.075012,765,246.667007,560.724976,3349,6276.350098,954.5,270.600006,1417,227.449997,46.799999,172.266998,15200,32899,101.300003,420.049988,880,163.699997,263.700012
November-2014,28822.37,374.72699,482.725006,799,252.533005,630.450012,3397.600098,6501.649902,508.100006,322.5,1344,229.850006,56.150002,191.332993,19580,33960,104.349998,461.5,952,166,266.549988
