Date,BSE SENSEX,BHARTIARTL.BO,HDFCBANK.BO,HINDUNLVR.BO,ITC.BO,KOTKBANK.BO,MARUTI.BO,NESTLEIND.BO,RELIANCE.BO,SBIN.BO,TCS.BO,AMBUJACEM.BO,ASHOKLEY,BHEL.BO,BOSCHLTD.BO,MRF.BO,PETRONET.BO,PIDILITE.BO,SIEMENS.BO,TATAGLOB.BO,TVSMOTOR.BO
2014-01-01,20693.240234,304.454987,332.375,559.299988,211.167007,353.325012,1846.5,5378.149902,421.075012,165.975006,1104.099976,175.149994,18.35,110.167,9753.150391,19108.699219,60.474998,283.899994,624.5,156.449997,74.800003
2014-01-08,21032.880859,301.746002,336.075012,538.849976,216.100006,355.875,1774.599976,5378.5,440.549988,162.690002,1164.069946,168.100006,17.450001,108.467003,9735.799805,19245.400391,58.799999,281.5,606.5,152.050003,75.650002
2014-01-15,21251.119141,279.98999,338.375,560.549988,219.332993,353.049988,1803.050049,5169.549805,432.024994,165.860001,1140.319946,171.149994,16.799999,113.432999,9563.650391,19626.800781,56.349998,283.049988,594.700012,148.199997,71.75
2014-01-22,20683.509766,281.183014,322.625,570.150024,218.100006,330.524994,1563.199951,4970.299805,422.899994,159.595001,1106.650024,158.5,16.450001,109.567001,9115.099609,19019.800781,52.075001,280.649994,526.900024,138.899994,67.800003
2014-01-29,20211.929688,290.501007,315.274994,570.75,216.667007,332.674988,1620.349976,4972,411,151.600006,1077.599976,155.949997,16.450001,108.932999,8996.650391,19920.699219,57.650002,275.25,542.299988,143.100006,84.800003
2014-02-05,20363.369141,280.311005,322.549988,562.900024,216.699997,323.5,1675.099976,5055.850098,402.75,151.850006,1050.5,160.899994,15.7,103.300003,9089.75,19131.599609,58.799999,273.899994,544.849976,144.75,83.099998
2014-02-12,20634.210938,277.419006,330.274994,561.599976,211.600006,340.024994,1708.949951,5026.149902,406.375,149.904999,1083.069946,152.899994,15.35,99.800003,8958.599609,18844.199219,57.625,275.549988,562,140.100006,82.150002
2014-02-19,20852.470703,263.786987,335.399994,554.200012,214.600006,338.149994,1675.949951,5007.25,405.200012,150.675003,1094.150024,163.899994,15.55,106.300003,9455.849609,19105.800781,59.5,284.950012,583.549988,141.199997,85.599998
2014-02-26,21209.730469,264.016998,335.225006,554.200012,221.033005,338.450012,1598.300049,4702.799805,407.299988,154.970001,1121.469971,168.800003,15.6,111.133003,9198.849609,19635.199219,61.825001,288.200012,621.950012,140.25,87.349998
2014-03-05,21826.419922,278.015991,362.674988,560.950012,222.5,372.200012,1755.900024,4795.350098,437.475006,167.514999,1075.030029,184,17.6,125.900002,9398.5,20790.300781,63.25,281.450012,676.150024,144.899994,86
2014-03-12,21832.609375,271.084991,366.875,556.349976,237.266998,382.5,1868.849976,4759.100098,447.674988,169.839996,1061.280029,183.75,17.5,125.633003,9518.950195,21526.900391,63.825001,280.350006,686.900024,143.050003,88.75
2014-03-19,22055.210938,270.947998,374.799988,592,241.899994,385.950012,1903.099976,4709.149902,439.325012,174.104996,1072.849976,183.100006,20.25,131,10386.400391,22149,67.800003,289.350006,712.950012,142.850006,97.050003
2014-03-26,22446.439453,289.674988,369.049988,601.599976,234.932999,382.875,1931.150024,4853.850098,470.575012,189.455002,1086.219971,202.350006,22.65,129.466995,10763.5,21664.199219,69.375,305.950012,739.849976,154.25,96.699997
2014-04-02,22343.449219,291.64801,362.674988,604.5,230.367004,383.649994,1903.949951,4903.299805,472.024994,192.225006,1075.199951,208.75,23.1,118.567001,10322,22234.699219,68.849998,317.700012,747.099976,151.399994,95.349998
2014-04-09,22484.929688,298.028992,361.700012,612.299988,227.332993,395.524994,1922.300049,4830.299805,474.25,196.350006,1125.780029,213.949997,23.6,120.900002,10268.200195,23443.300781,70.875,322.399994,756.25,153.25,89.300003
2014-04-16,22758.369141,307.804993,363.174988,596.299988,233.800003,400.825012,1974.25,4715.100098,484.174988,204.934998,1110.150024,214.649994,23.75,124.432999,10309.900391,21879.5,71.474998,337,756.650024,157.5,88.300003
2014-04-23,22466.189453,307.667999,357.950012,563.150024,226.899994,403.850006,1916.349976,4716.25,470.149994,206.529999,1096.75,202.399994,22.700001,124.467003,10523.700195,20720.199219,71.824997,315.850006,716.299988,151.25,92.25
2014-04-30,22508.419922,289.398987,359.850006,553.599976,231.966995,403.25,1909.599976,4694.899902,481.625,205.175003,1099.469971,199,22.450001,119.199997,10461.700195,20802.5,72.300003,300.450012,670.700012,145.149994,104.25
2014-05-07,23871.230469,293.667999,393.600006,577.75,240.699997,430.299988,2095.199951,4851.350098,530.674988,227.625,1105.319946,221.550003,25.5,145.867004,10737.299805,21403.800781,70.474998,312.950012,770.900024,146.649994,117.699997
2014-05-14,24376.880859,319.234009,407.825012,563.150024,227.533005,451.75,2193.5,4562.549805,539.25,252.604996,1031.530029,217.300003,28.299999,185.266998,11310,22803.400391,75.900002,325.149994,916.200012,153.800003,119.400002
2014-05-21,24549.509766,308.171997,402.424988,560.450012,229.600006,435.125,2305.850098,4723.399902,543.875,263.220001,1065.219971,208.199997,31.799999,163.766998,12175.299805,22726.599609,74.300003,322.399994,928.200012,156.300003,129.050003
2014-05-28,24858.589844,329.700012,412.274994,592,222.300003,436.350006,2342.850098,4804.700195,547.375,264.329987,1065.150024,231.149994,33.400002,171.533005,12297.900391,23078.199219,78.925003,302.450012,938.599976,150.399994,131.100006
2014-06-04,25583.689453,331.536011,408.725006,638.75,224.899994,448.649994,2465.800049,4956.25,558.924988,266.475006,1078.550049,230.550003,33.549999,170.399994,11766.200195,24273.800781,79.150002,292.100006,952.349976,174.699997,130.399994
2014-06-11,25521.189453,311.431,423.225006,629.950012,224.199997,469.725006,2417.899902,4995.75,544.950012,265.440002,1139.069946,225.100006,33.099998,165.300003,11987.700195,23425.199219,83.25,299.950012,913.25,166.949997,135.100006
2014-06-18,25368.900391,312.992004,414.399994,617.200012,213.600006,439.875,2415.649902,4935,529.825012,265.950012,1152.150024,222.600006,35.950001,166.932999,11925,23817.400391,93.125,314.899994,892,167.149994,141.699997
2014-06-25,25516.349609,307.897003,411.549988,628.25,216.766998,442.424988,2584.850098,4944.350098,504,268.079987,1195.199951,223.800003,36.75,168.367004,13446.799805,23656.699219,87.375,323.850006,960.400024,174.75,163.5
2014-07-02,25582.109375,311.799011,415.075012,626.099976,223.867004,435.899994,2590,4978,497.575012,257.674988,1224.849976,218.25,35.200001,162.100006,13399.099609,22893.300781,90.900002,327.200012,907.950012,158.649994,156.949997
2014-07-09,25228.650391,306.70401,413.375,618.849976,228.266998,435.700012,2520.850098,4924.100098,486.100006,251.619995,1200.099976,219.399994,32.599998,156.300003,13043.200195,21927.800781,87.5,330.600006,893.5,153.5,165.550003
2014-07-16,26025.800781,324.28299,419.950012,632.549988,234.567001,473.274994,2512.800049,5190.100098,515.400024,252.399994,1265.530029,222.649994,33.299999,156.199997,13393.5,22979.800781,90.300003,354.950012,913.450012,159.149994,168.050003
2014-07-23,25991.230469,325.292999,414.875,686.450012,237.800003,469.475006,2504.399902,5175.899902,502.649994,249.024994,1294.349976,205.949997,32.75,153,13242.700195,23629.599609,91.75,364.549988,896.299988,155.199997,146.550003
2014-07-30,25908.009766,343.790985,409.975006,704.099976,237.167007,468.674988,2667.050049,5204.600098,491.799988,246.975006,1261.280029,212.800003,35.299999,152.033005,13918.700195,23771.199219,86.150002,367.25,889.150024,154.800003,164.25
2014-08-06,25880.769531,339.567993,403.575012,700.950012,231.332993,482.399994,2666.399902,5317.850098,492.25,242.934998,1236.849976,208.75,35.049999,149.132996,13621.200195,23372.099609,86.675003,368.399994,869.349976,154.25,184.699997
2014-08-13,26420.669922,345.993988,412.049988,719.099976,232.600006,490.25,2751.199951,5748.549805,504.350006,243.979996,1219.180054,216.600006,37.799999,151.5,13858.299805,24275.900391,88.099998,369.700012,856.799988,156.550003,180.899994
2014-08-20,26442.810547,337.824005,421.25,727.150024,234.600006,528.375,2775.5,5867.799805,497.024994,249.315002,1266.719971,208.850006,36,154.800003,14734,24057.199219,91.875,413.25,803.599976,152.75,184.75
2014-08-27,27019.390625,359.764008,429.25,733.900024,236.533005,528.950012,2912.800049,6086.899902,511.950012,252.205002,1269.550049,215.800003,38.150002,159.899994,14980.5,25589.599609,97.949997,401.450012,826.349976,155.600006,201.300003
2014-09-03,27265.320313,372.753998,432.700012,749.400024,238.432999,536.924988,2910.949951,6402.25,516.650024,256.73999,1315.150024,219.100006,40.700001,147.632996,14957.5,29887.199219,93.875,396.200012,910.299988,165.149994,224.199997
2014-09-10,26492.509766,378.766998,425.075012,757.950012,235.432999,514.575012,2950.800049,6129.450195,490.225006,256.369995,1277.449951,206.600006,39.299999,144,14828.900391,30285.800781,96.150002,387.799988,856.599976,159.399994,211.300003
2014-09-17,26775.689453,373.213013,424.325012,742.849976,247.266998,521.174988,3065.199951,5928.75,483.049988,255.595001,1344.449951,213.699997,38.950001,144.300003,14959.200195,31013.099609,98.125,395.799988,880.599976,164.449997,218.75
2014-09-24,26630.509766,371.101013,435.75,745.849976,247.167007,506.725006,3064.350098,5979.549805,472.674988,244.235001,1369.099976,213.699997,41.099998,133.966995,15018.200195,32629.400391,94,397.299988,827,159.100006,228.199997
2014-10-01,26271.970703,370.367004,431.174988,734.299988,241.867004,503.299988,2938.699951,5950.5,463.325012,236.979996,1366.599976,209.199997,42.599998,131.867004,14703.700195,31817.5,90.900002,394.350006,807.25,158.649994,224.300003
2014-10-08,26349.330078,365.777008,434.375,730.900024,231.699997,505.5,2961.850098,5959.75,480.549988,252.164993,1349.849976,208.550003,44.599998,150.5,14534.700195,31230.099609,89.900002,384.200012,812.049988,156.399994,225
2014-10-15,26575.650391,377.160004,447.950012,748.849976,234.300003,506.975006,3075.899902,5961.899902,464.575012,258.454987,1216.719971,213.449997,44.299999,158.332993,14628.099609,30547.300781,96.949997,399.799988,831.650024,155.399994,260.5
2014-10-22,26880.820313,374.957001,447.600006,715.900024,233.567001,541.575012,3150.600098,5969.799805,467.024994,265.640015,1239.099976,224.050003,45.549999,170.033005,15037.099609,31061.699219,97.824997,407.649994,860.799988,156.649994,253
2014-10-29,27860.380859,363.528015,455.225006,738.200012,236.632996,555.700012,3285.600098,6337.450195,500.600006,272.125,1294.650024,227.600006,46.5,168.667007,15502.200195,31825.900391,99.949997,410.25,875.349976,163.699997,261.899994
2014-11-05,27910.060547,353.153992,453.725006,770.549988,242.5,554.200012,3327.25,6448.149902,488.875,273.755005,1288.780029,225.350006,49.549999,163.367004,15642,32635.099609,99.474998,407.899994,870.700012,158.050003,248.5
2014-11-12,28163.289063,365.777008,466.200012,751.450012,246.132996,542.575012,3365.850098,6152.049805,493.875,293.954987,1293.780029,226.449997,53.799999,169.432999,17762.400391,32591.099609,98.150002,430.649994,934.25,159.449997,242.100006
2014-11-19,28338.050781,370.09201,476.424988,764.75,237.132996,579.950012,3289.449951,6329.549805,496.174988,304.950012,1317.380005,227.850006,49.200001,176.800003,17788.699219,31698.400391,96.699997,438.950012,914.200012,154.25,221.949997
2014-11-26,28444.009766,352.786987,471.375,804.799988,243.533005,607.275024,3360.899902,6189.75,481.25,318.75,1328.030029,228.550003,54.799999,181,18592.300781,34293.101563,100.025002,480.75,897.049988,163.350006,232.300003
2014-12-03,27797.009766,325.200989,463.575012,813.5,262.833008,614.299988,3332.25,6300.549805,469.649994,306.700012,1258.719971,226.050003,50.099998,172.699997,20012.5,37033.699219,94.900002,485.5,887.75,154.649994,243.75
2014-12-10,26781.439453,321.391998,462.799988,768,253.667007,642.849976,3311.199951,6035.049805,432.049988,295.899994,1221.569946,219.199997,45.799999,164.867004,18958.300781,37178.800781,93.25,467.75,836.900024,144.350006,247.699997
2014-12-17,27506.460938,326.028015,479.75,765.950012,249.899994,623.049988,3398.600098,6219.100098,446.950012,307.049988,1258.530029,227.399994,49.650002,174.533005,18531.800781,36901.199219,103.974998,505,844.049988,148,246.050003
