Date,NIFTY50,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ITC.NS,KOTAKBANK.NS,MARUTI.NS,NESTLEIND.NS,RELIANCE.NS,SBIN.NS,TCS.NS,AMBUJACEM.NS,ASHOKLEY.NS,BHEL.NS,BOSCHLTD.NS,MRF.NS,PETRONET.NS,PIDILITE.NS,SIEMENS.NS,TATAGLOBAL.NS,TVSMOTOR.NS
2014-01-01,6304,310.11499,332.575012,572.349976,214.932999,361.274994,1764,5311.799805,444.399994,176.505005,1076.650024,183.649994,17.200001,116.932999,10009.900391,19276.900391,61.700001,286.200012,663.900024,160.5,73.349998
2014-01-02,6221.149902,301.804993,328.5,562.400024,209.966995,353.700012,1768.400024,5280.149902,437.5,174.259995,1083.5,179.149994,17.75,113.133003,9998.049805,19019.800781,60.650002,284.950012,638.650024,154.949997,78.099998
2014-01-03,6211.149902,302.402008,331.549988,565,209.832993,356.274994,1798.599976,5333.600098,432.125,171.964996,1111.099976,177.800003,18.9,110.300003,10021.299805,19162.699219,60.875,281.899994,629.549988,156.350006,78.949997
2014-01-06,6191.450195,302.402008,330.850006,563.5,210.432999,357.049988,1807.699951,5387.649902,427.475006,168.815002,1119.800049,176.300003,18.700001,109.532997,9930.049805,19287.900391,62,285.549988,625.5,156.800003,76.650002
2014-01-07,6162.25,304.559998,332.200012,558.950012,211.132996,354.075012,1845.75,5381.899902,421.049988,166.139999,1103.069946,175.25,18.35,110,9777.349609,19120.300781,60.575001,283.350006,624.599976,156.5,74.900002
2014-01-08,6174.600098,305.201996,332.350006,559.150024,211.233002,356.450012,1837.5,5422.399902,424.524994,165.714996,1116.319946,174.699997,18.25,108.599998,9864.849609,19075.900391,61.049999,285.950012,631.049988,157.100006,74.650002
2014-01-09,6168.350098,302.631989,331.475006,554.150024,210.399994,355.075012,1811.800049,5372.850098,425.350006,163.979996,1120.969971,170.649994,17.9,108.599998,9752.450195,19153.099609,59.875,291.649994,608.700012,157.25,71.849998
2014-01-10,6171.450195,303.503998,331.024994,549.799988,215.067001,350.225006,1794.099976,5405.950195,429.075012,160.815002,1140.449951,167.25,17.200001,108.667,9715.900391,19101.5,58.450001,285.649994,596.849976,155.949997,70.599998
2014-01-13,6272.75,303.916992,336.424988,545.700012,216.966995,358.450012,1782.75,5426.899902,440.200012,164.125,1184.380005,170.100006,17.1,109.233002,9718.099609,19124.800781,58.75,285.799988,593.849976,152.899994,71.699997
2014-01-14,6241.850098,301.117004,336.149994,538.400024,216.300003,355.649994,1773.349976,5379.450195,440.75,162.75,1163.380005,167.649994,17.4,108.133003,9758.799805,19264.199219,58.75,281.700012,607.650024,152.050003,75.800003
