Month,NIFTY50,BHARTIARTL.NS,HDFCBANK.NS,HINDUNLVR.NS,ITC.NS,KOTAKBANK.NS,MARUTI.NS,NESTLEIND.NS,RELIANCE.NS,SBIN.NS,TCS.NS,AMBUJACEM.NS,ASHOKLEY.NS,BHEL.NS,BOSCHLTD.NS,MRF.NS,PETRONET.NS,PIDILITE.NS,SIEMENS,TATAGLOBAL.NS,TVSMOTOR.NS
January-2014,6358.299805,289.226013,342.5,584.900024,221.567001,368.875,1860,5600,449.125,180.600006,1192.400024,159.149994,19.15,115.167,10333,19433.900391,55,279.850006,672.400024,141,77.699997
February-2014,6282.700195,264.067993,341.450012,589.650024,221.332993,347,1733.650024,5198,414.899994,154,1140,168,16.6,111.833,9594,19086.800781,60.525002,286.350006,624,139.699997,86
March-2014,6730.049805,291.751007,380.375,608.849976,243.332993,394,1980,5070,469.899994,193.880005,1149.5,202.199997,24.35,130.699997,11000,21788.800781,68.5,307.049988,775,150.050003,97.099998
April-2014,6869.850098,301.208008,376.774994,619.799988,237.332993,417.299988,2006.849976,5070,494.375,212.490005,1132,197.75,25.25,120.300003,11030,20528.599609,72.400002,318.5,776.349976,149.449997,95.400002
May-2014,7563.5,315.945007,427,615,258.333008,475.5,2505,5080,572.625,283.48999,1126.699951,217.600006,35.849998,161.466995,13330,22733.300781,77.675003,302.75,989.950012,149.100006,130.100006
June-2014,7700.049805,356.399994,428,645.950012,228.733002,485.975006,2528,5039,566.5,276.149994,1217.5,220.600006,39,166.867004,13670,23611.599609,87.900002,294.100006,981,171.199997,162.5
July-2014,7840.950195,354.350006,430.350006,701.299988,243,489.799988,2665,5248.399902,521.650024,272.899994,1307.180054,206.399994,38.150002,152.233002,14099,23337.199219,91.324997,352.549988,1010,156.800003,147.300003
August-2014,7968.25,339.541992,426.399994,744.900024,241.233002,529.974976,2824.949951,6155,511.5,257.73999,1293.969971,206.300003,38.299999,160.600006,14998,24030.900391,92.050003,410.5,904.150024,150.5,186.5
September-2014,8180.200195,372.04599,439.899994,771.900024,253.266998,543.299988,3112,6620,520.650024,264.399994,1391.219971,213.699997,42.700001,133.632996,15350,32681.900391,94,397.100006,914.799988,159.350006,227.949997
October-2014,8330.75,366.260986,457.299988,766.049988,246.667007,561.125,3350,6300,501.850006,270.980011,1419.849976,227.649994,46.799999,171.132996,15200,31315.699219,99.724998,414.200012,880,158.350006,259.149994
November-2014,8617,351.019989,482.950012,798.849976,252.533005,632.349976,3396,6500,508.674988,322.5,1345.949951,229.899994,56.200001,189.199997,19570,33543.699219,98.625,460.299988,951.900024,161.300003,229.199997
December-2014,8626.950195,323.84201,486.975006,829.75,266.867004,657.75,3462,6425.049805,495.975006,326.950012,1355.469971,228.850006,55.75,176.832993,21150,37918.601563,104.275002,543.049988,984.5,150.949997,268.450012
January-2015,8996.599609,343.122986,550.299988,968.849976,248.632996,722,3758.5,7430,467.25,336,1299.949951,248.75,69.150002,194.5,23989,40036.898438,89.925003,570.700012,1084.099976,158.699997,308.200012
February-2015,8913.450195,326.136993,546.5,930.849976,268,683,3725,7272,471.899994,313.149994,1365,269.450012,71.150002,180.600006,27398.900391,41200.800781,91.849998,554.950012,1368.5,156.050003,282
March-2015,9119.200195,361.119995,554.650024,981,238.667007,728.875,3789.699951,7505,454.825012,315,1406.050049,255.300003,76.099998,156.899994,27990,38750.601563,85.775002,599.849976,1500,148.800003,263.850006
April-2015,8841.650391,349.917999,529.5,950.950012,239.067001,737.650024,3873,7174.950195,472.149994,294.899994,1356.949951,232.399994,76.949997,158.699997,26796.900391,36664.101563,87.324997,567.049988,1490,142.100006,235.649994
May-2015,8489.549805,390.777008,527,907.049988,223.932999,717.450012,3840,7349,457.700012,305,1324.300049,237.600006,75.5,167.766998,23900,35874.300781,90.925003,552.049988,1417.800049,146.25,238.149994
June-2015,8467.150391,385.681,536,923.099976,222.5,707.099976,4077.399902,6999.899902,507.049988,282,1323.550049,229.899994,73,165.266998,23860,34230.898438,93.5,550.400024,1406.5,132.199997,244.100006
July-2015,8654.75,384.53299,564,944,218.266998,744.799988,4359,6494,533.924988,274.649994,1323.449951,232.300003,86.400002,185.567001,24908.099609,40839.199219,96.650002,558.150024,1507.800049,140.199997,238
August-2015,8621.549805,339.200012,558.75,924.799988,329.5,724.75,4692.399902,6998,881.25,291.799988,1376.430054,207.199997,99.650002,231.600006,26719.900391,40392.199219,88.724998,550.049988,1559.699951,117.300003,223.649994
September-2015,8055,310.207001,536.950012,862.400024,219.899994,670,4763.450195,6398,449.75,248.449997,1321.849976,205.800003,92.900002,137.033005,23247,41935.898438,89.574997,567.849976,1340.150024,127.800003,230.050003
October-2015,8336.299805,341.549988,562,832,239.867004,693.799988,4721.899902,6669.950195,487.399994,257.149994,1385,206.949997,97.199997,132.567001,22049.900391,39751.398438,97.050003,579.299988,1396.400024,133.350006,265.5
November-2015,8116.100098,306.993011,549.049988,826,235.332993,702.950012,4790,6474,496.25,253,1273.900024,198.899994,99.650002,116.667,20890,38850,117.125,558,1359.599976,127.900002,307
December-2015,7979.299805,312.548004,546.349976,875.599976,233.167007,723.849976,4702,5950,509.850006,251.899994,1233.199951,203.050003,95.5,112.766998,19112,39877.5,127.974998,552.450012,1250.050049,146.199997,289.799988
January-2016,7937.549805,289.899994,554,868.700012,219.332993,729.849976,4668,5850,544.875,228.899994,1219.5,195.350006,94.150002,92.466698,19420,35626.199219,122.800003,566.25,1225.650024,126.5,292.25
February-2016,7600.450195,289.684998,533.5,866,217.300003,697.299988,4119,5575,520.900024,181.949997,1220,187.949997,93,60.5667,17788.900391,32547.099609,117.550003,586.650024,1092,103.550003,268.149994
March-2016,7777.600098,322.096985,539.450012,883,224.132996,694.900024,3777.800049,5849,528,198.75,1275,232.550003,109.400002,75.900002,21000,38296.800781,125.375,589.299988,1106.949951,121.25,322.799988
April-2016,7992,333.850006,568.349976,906.900024,225.567001,719.799988,3932.75,6246.75,534.950012,202.550003,1276.75,221,112.900002,83.599998,20825,33787.800781,131.774994,603.049988,1198.699951,120.050003,319.799988
May-2016,8213.599609,322.64801,597.5,869.700012,242.667007,754.5,4180,6359,497.475006,205.699997,1323.5,228.399994,109.349998,80.333298,22541.099609,33774.398438,136.774994,706.25,1236,117.75,284.649994
June-2016,8308.150391,336.787994,595.924988,908,247.800003,778.849976,4235,6705,497.075012,221.899994,1338.849976,254.800003,111.699997,85.133301,23098,33077.601563,147.100006,719.900024,1320,131.199997,309.5
July-2016,8674.700195,332.425995,625.625,951.450012,259.75,787.5,4824,7369,519.375,235.149994,1317.449951,271.25,100.699997,97.266701,25141.099609,33844.101563,149,730.799988,1356,142.149994,291.75
August-2016,8819.200195,304.514008,647.5,947,262,814.950012,5103.899902,7215.149902,537,260.399994,1372.400024,277.950012,97.099998,92.733299,25670.800781,37431.800781,175.925003,698.549988,1353,140.25,326.049988
