Date,NIFTY50,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ITC.NS,KOTAKBANK.NS,MARUTI.NS,NESTLEIND.NS,RELIANCE.NS,SBIN.NS,TCS.NS,AMBUJACEM.NS,ASHOKLEY.NS,BHEL.NS,BOSCHLTD.NS,MRF.NS,PETRONET.NS,PIDILITE.NS,SIEMENS.NS,TATAGLOBAL.NS,TVSMOTOR.NS
2014-01-01,6162.25,304.559998,332.200012,558.950012,211.132996,354.075012,1845.75,5381.899902,421.049988,166.139999,1103.069946,175.25,18.35,110,9777.349609,19120.300781,60.575001,283.350006,624.599976,156.5,74.900002
2014-01-08,6241.850098,301.117004,336.149994,538.400024,216.300003,355.649994,1773.349976,5379.450195,440.75,162.75,1163.380005,167.649994,17.4,108.133003,9758.799805,19264.199219,58.75,281.700012,607.650024,152.050003,75.800003
2014-01-15,6313.799805,279.953003,338.049988,559.799988,219.367004,353.149994,1801.900024,5177.25,431.524994,165.949997,1140.150024,170.899994,16.799999,113.167,9556.450195,19624.699219,56.375,282.700012,593.700012,147.850006,71.5
2014-01-22,6126.25,280.963013,322.225006,569.700012,217.766998,329.899994,1566,4959.350098,422.424988,159.630005,1106.180054,158,16.35,109.567001,9097.75,19034.300781,52,281,527,138.949997,67.75
2014-01-29,6000.899902,290.373993,315.299988,570.25,216.600006,332.649994,1619.650024,4960.450195,410.774994,151.539993,1075.680054,155.800003,16.450001,108.567001,8995.349609,19895.199219,57.625,275.5,541.099976,143.149994,84.699997
2014-02-05,6062.700195,279.677002,322.399994,562.450012,216.733002,323.625,1678.150024,5057.899902,402.625,151.970001,1050.849976,160.699997,15.7,103.400002,9105.900391,19161.900391,58.825001,273.399994,544.799988,144.850006,83.150002
2014-02-12,6127.100098,277.519012,330.200012,562.25,211.266998,340.149994,1708.449951,5024.75,406.575012,150.095001,1083,152.75,15.35,99.766701,8980.450195,18850.199219,57.674999,275.5,562.450012,140.199997,82.150002
2014-02-19,6200.049805,263.609009,335.549988,554.450012,214.632996,337.875,1678,5000.649902,405.274994,150.600006,1094.449951,164.100006,15.5,106.467003,9475.25,19085.800781,59.674999,285.100006,585.5,141.199997,85.849998
2014-02-26,6297.950195,263.838989,335.850006,554.900024,221.100006,338.350006,1597.400024,4710.5,406.475006,155.035004,1120.319946,168.350006,15.6,111.300003,9236.799805,19633.300781,61.950001,288.5,622.150024,140.399994,87.349998
2014-03-05,6511.899902,278.253998,362.575012,560.349976,222.667007,372.100006,1754.150024,4798.799805,437.375,167.479996,1075.819946,184.300003,17.549999,126.233002,9407.200195,20785.900391,63.5,281.850006,677.799988,145.149994,86.099998
